bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,0.042735,0.0128205,0.0128205,,,,,,0.0277778,,,0.0307692,,0.020979,,,,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
100,178,133.417,0.19029,0.199854,0.213078,0.193388,0.176383,0.176589,0.244406,0.199898,0.17724,0.156357,0.201202,0.200897,0.171168,0.195601,0.17125,0.204624,0.208217,121,136,129,118,128,132,111,121,131,138,109,127,138,129,135,116,128
178,316,237.167,0.160625,0.152134,0.147418,0.158602,0.14963,0.148853,0.200681,0.155625,0.14925,0.161692,0.195568,0.156895,0.167018,0.160525,0.139333,0.162647,0.162913,288,300,297,264,284,292,213,282,277,267,241,282,268,280,300,264,273
316,562,421.417,0.126074,0.153455,0.146636,0.155066,0.14065,0.137493,0.184058,0.138699,0.14235,0.138703,0.181615,0.15115,0.155754,0.157196,0.141539,0.162962,0.155178,538,557,515,480,523,516,401,482,531,534,431,491,510,512,525,447,514
562,1000,749.667,0.123889,0.119077,0.121137,0.126882,0.120808,0.127503,0.150629,0.114682,0.12728,0.125037,0.15417,0.133009,0.112787,0.124191,0.116817,0.147525,0.133094,940,951,877,814,888,909,673,884,885,902,741,867,892,896,904,767,876
1000,1778,1333.42,0.101598,0.11157,0.105876,0.116198,0.107739,0.106733,0.139324,0.100034,0.11003,0.109983,0.124262,0.109793,0.106628,0.112522,0.105535,0.132104,0.114626,1621,1676,1577,1461,1561,1619,1218,1540,1656,1593,1305,1503,1531,1564,1658,1411,1564
1778,3162,2371.08,0.0953439,0.0940672,0.0947867,0.105025,0.0922691,0.0955264,0.131013,0.0986576,0.101181,0.0928776,0.12718,0.0972719,0.0964063,0.0894367,0.0905305,0.115085,0.102287,2921,2958,2779,2607,2880,2889,2236,2711,2869,2859,2344,2676,2759,2752,2904,2500,2749
