job_id,iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ld_loss,ibd_loss,dxy_loss,genrel_loss,fc_loss
0,0,0.0003320359066941084,0.268761171303757,23379.9997596294,1.0,5.8e-07,1.02e-06,0.02022790744796274,0.006807094541195043,0.009535288872362196,0.0043033526038125216,0.00023508039199257626,3.217834895744294e-05,0.002354704827222248
0,1,0.00022751885842304094,0.2750643526791684,19164.366144171716,3.0,5.8e-07,1.02e-06,0.024258828202888688,0.009937181261450339,0.00950376890876191,0.008624306404601883,0.0002753484648443188,5.255993189659299e-05,0.003726264337777785
0,2,0.0002685053787710008,0.028247962459037677,7893.672558022532,3.0,5.8e-07,1.02e-06,0.057088524481271406,0.04506824672447879,0.0037877898588767893,0.02252956979649302,0.0002887433818229436,0.00023882001570079973,0.010572183213888892
0,3,0.0011196046340725845,0.06552762510494997,18959.862637990354,3.0,5.8e-07,1.02e-06,0.04428823692008344,0.033118703985454835,0.005697160397933499,0.014230513876416063,0.0002828259948189781,0.00011410229836079928,0.006132597151666669
0,4,0.0003939245161692929,0.26590666100798777,10691.055584908709,2.0,5.8e-07,1.02e-06,0.025617293979436222,0.014152678356912569,0.008870762146300048,0.012134372126629855,0.00014863432409752204,9.919991481179665e-05,0.002903800912777754
1,0,4.104100494546093e-05,0.10241276642988613,12135.836255515704,3.0,5.8e-07,1.02e-06,0.02705951498247496,0.006007886928981708,0.00852383575467778,0.000507708930839321,0.0001375642292037515,2.8181083022910402e-05,0.006980478558888906
1,1,7.343053529754321e-05,0.19569229396185062,3153.5552918395188,1.0,5.8e-07,1.02e-06,0.025061121110255588,0.005776183735851109,0.007419367130491096,0.0018904941220067833,0.0003923396440133036,3.664816231444198e-05,0.004549287260555562
1,2,8.279039712664691e-05,0.02153762027861725,18950.127735461883,3.0,5.8e-07,1.02e-06,0.0315021233581134,0.016353439278679778,0.006429006727941334,0.004041155103950329,0.00034994834632936156,3.2359391372178006e-05,0.005650134596111106
1,3,0.0004618462797730151,0.1696006697777006,13502.261810320993,1.0,5.8e-07,1.02e-06,0.021079106742645473,0.010460785235383461,0.008454294502535514,0.008223935305731149,0.0002110555855661584,5.265004335495903e-05,0.0021997626249999763
1,4,6.432720600522016e-05,0.10607962507735226,20737.942889069654,1.0,5.8e-07,1.02e-06,0.02113178650860484,0.005844627105386364,0.009412325212119299,0.0005798934931779334,0.00019070053340020476,3.2023971569650905e-05,0.002880029881111121
2,0,0.00029791372857004947,0.24737610369896293,7787.944233671901,1.0,5.8e-07,1.02e-06,0.025992849843517282,0.012749797691576442,0.008589580176660736,0.012265337250678137,0.00028559858696553577,0.0001044921574412349,0.002647400742777778
2,1,8.000000576910353e-05,0.0633250324848886,15306.393510922502,3.0,5.8e-07,1.02e-06,0.021078626492446895,0.007982125810257673,0.008895513097932744,0.0028870999207973366,0.00014400880515033523,3.0692959255898296e-05,0.005992763997777789
2,2,0.00031748487379911736,0.029520985003825294,16851.982780964194,2.0,5.8e-07,1.02e-06,0.026254299687852995,0.017334792699508186,0.007037525224016586,0.007880281120548512,0.00023434791561251106,5.3352770317206236e-05,0.005949132843888885
2,3,3.86449672446667e-05,0.0056666616672453865,12355.490156541784,1.0,5.8e-07,1.02e-06,0.021068233195964403,0.026165428318394995,0.006100892342014543,0.0008967463598437845,0.00017635231062164687,1.960511926623663e-05,0.004861105777222222
2,4,0.0014881049294715979,0.05440037835502359,3946.778924622147,2.0,5.8e-07,1.02e-06,0.14687484364645476,0.12884639176759932,0.011825234663973444,0.06291851131091886,0.00033444338959525056,0.001548382178713812,0.012424096385
3,0,3.1384357089255825e-05,0.09621746226623863,3908.5072451496444,1.0,5.8e-07,1.02e-06,0.021050611017245896,0.00640558986682315,0.007698310221675056,0.0004930684176795656,0.0002424677909799247,2.3919264327840543e-05,0.00508146257388889
3,1,7.17477154424755e-06,0.16836060131333605,9400.172642358513,2.0,5.8e-07,1.02e-06,0.02290535766156715,0.005665260107011436,0.009965426901908965,0.0005145961017137333,0.0003568937615693346,3.0102818208703218e-05,0.003264012295555563
3,2,0.00019822268541738587,0.17880908142568078,8907.991067586485,1.0,5.8e-07,1.02e-06,0.020724187537146412,0.010570644686155836,0.008758099995161419,0.00939410951296201,0.00018038453131676208,7.438692729245738e-05,0.003414533636666661
3,3,0.0002551284115050106,0.2802274704206019,9167.724545094086,3.0,5.8e-07,1.02e-06,0.02911491683280726,0.016429860848200417,0.009159026594327135,0.01714847540118142,0.00018517600573425335,0.0001495639776328708,0.0035177216222222196
3,4,0.00017948088788352005,0.20936694010069476,8614.77296085746,2.0,5.8e-07,1.02e-06,0.02993883248552962,0.012625908404130174,0.007942145654726384,0.011995844601031503,0.0003469491417909134,0.00010299063566978363,0.0032551867238888865
4,0,7.55326691026263e-05,0.09516170592593254,2661.9249018310747,2.0,5.8e-07,1.02e-06,0.03082148479123382,0.019238885770526123,0.0029264711832598916,0.008228845322198886,0.000306397212742791,0.00013970805217739231,0.011105709635000002
4,1,0.0013282880310457306,0.2801335900228537,9126.811180209232,3.0,5.8e-07,1.02e-06,0.07063010246085828,0.05461824250213259,0.004646841825234756,0.028208894817866162,0.00030550529861993127,0.0004375544398778927,0.0028263501855555623
4,2,5.907889740418507e-05,0.25593220191384125,14080.42065493795,1.0,5.8e-07,1.02e-06,0.02474221671786912,0.00620350683182231,0.009664415517754774,0.0005194576475121007,0.00014423751295807748,3.2092068090554744e-05,0.0026886221427777635
4,3,7.615405857801542e-05,0.20955358866045617,16344.850846953941,2.0,5.8e-07,1.02e-06,0.024789672523500703,0.0056553950341621875,0.00937271054675269,0.0008408925740763213,0.00014172502125433495,3.1464794798413094e-05,0.004921979064999998
4,4,4.6602103385117435e-05,0.24709479264310608,4574.877592285511,3.0,5.8e-07,1.02e-06,0.023733155943013312,0.005789566732886618,0.006641637046928509,0.000544493553149386,0.0003593464311883908,2.3122220558490644e-05,0.005938695274444447
5,0,0.00030507534901016785,0.11622557051552129,3050.5072741394347,1.0,5.8e-07,1.02e-06,0.07033533431197564,0.034334566489389845,0.004506927290863332,0.033662997581599234,0.0005993921462503677,0.0004579196965500308,0.007111688201111133
5,1,0.00013402588104719851,0.1714659793206419,10122.01217770265,1.0,5.8e-07,1.02e-06,0.023177702706771715,0.007534305874614113,0.00924088232987872,0.005350854191012622,0.00014368676414362792,4.5109463158893655e-05,0.002469706432777788
5,2,0.00014695212040150525,0.08766719957878219,15813.576813937856,3.0,5.8e-07,1.02e-06,0.021548694376673786,0.011150699818102005,0.007951720296725391,0.008516738561612424,0.00016661490099846988,5.918982698354784e-05,0.005396651802777777
5,3,3.1120564763173226e-05,0.025541057835011483,22336.766028252903,1.0,5.8e-07,1.02e-06,0.02576811056743049,0.005902250313907747,0.009091435659079744,0.0004820046212659474,0.0004120892857523752,3.1120282184840754e-05,0.0037925102100000163
5,4,1.1642911585234574e-06,0.25711468816863375,9816.066199375717,3.0,5.8e-07,1.02e-06,0.021314207445175832,0.005762292490927465,0.009523083642346553,0.0005187774985091885,0.00018361149802710434,3.000065637142336e-05,0.004609186903888882
6,0,0.0001175608570311189,0.22600136319629063,5772.563321763821,2.0,5.8e-07,1.02e-06,0.024620300174361436,0.011282297307840106,0.00814911415413719,0.010040256929186612,0.0002847572022766221,0.000111600611357021,0.005251287446111114
6,1,1.7835807736277276e-05,0.09382124939677944,2989.8361701609006,2.0,5.8e-07,1.02e-06,0.022686402964874484,0.01183946679880385,0.0030970841528395743,0.00020889709972251151,0.00025036654351022036,2.0111502797905966e-05,0.010430832281111108
6,2,4.2349856965749174e-05,0.10668414963715404,7209.328104739786,1.0,5.8e-07,1.02e-06,0.022049202016139163,0.005597497254146252,0.008473544420127583,0.0005344080763716641,0.0003263081413534964,2.9580696511906224e-05,0.004549151682777794
6,3,8.180507531010763e-05,0.2813063634515233,11570.406126808508,1.0,5.8e-07,1.02e-06,0.02094275020107944,0.005961640792556202,0.00974273565012269,0.0006653491498262105,0.00024710366168832423,3.175934220756466e-05,0.003927319914444449
6,4,0.00010957584970906063,0.15236792224557658,2430.48998405779,3.0,5.8e-07,1.02e-06,0.06260641866256961,0.032229633000079805,0.002831142813798816,0.027176593778896405,0.0005215673842319575,0.0004731732533396159,0.016458339836111113
7,0,2.231542225173132e-06,0.1956377524320773,9174.615574051866,2.0,5.8e-07,1.02e-06,0.02179840208062578,0.005731693703113741,0.008770056559337255,0.0005239256596730691,0.0003211295164208365,3.028614413440011e-05,0.004428396590555564
7,1,2.8919634163527954e-05,0.22849084282902293,15531.759299104087,3.0,5.8e-07,1.02e-06,0.021049587808737075,0.005866095158305246,0.010582267711213128,0.0005109173501560458,0.00019070913951706238,3.1322704361674214e-05,0.004517249300000012
7,2,2.640614553506473e-05,0.03334680838690622,22877.126878145107,1.0,5.8e-07,1.02e-06,0.021273087286537373,0.00567790040182146,0.010057753585330528,0.00048744516897221093,0.00027320075696539225,3.15266896435456e-05,0.002676332489444433
