site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2595291743,0.1964285714,33013
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1699745191,0.1428571429,32896
Alsum18-2019,Alsum18-2023,8,7,6,0.1996725252,0.1547619048,32019
Alsum59-2019,Alsum59-2023,8,6,7,0.195373532,0.1547619048,32158
Arlington-2019,Arlington-2023,8,7,7,0.1799296205,0.1428571429,32785
XMASBig-2019,XMASBig-2023,8,5,5,0.2197208964,0.2,38449
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1802065112,0.1428571429,32676
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1685202259,0.1428571429,32694
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1782372947,0.1428571429,32681
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1588214345,0.1428571429,32695
Arlington-2015,Arlington-2023,16,4,7,0.2607258764,0.1964285714,32915
C5-2015,C5-2023,16,7,7,0.1733418395,0.1428571429,32895
C44-L15-2015,C44-L15-2023,16,7,7,0.1951080055,0.1428571429,32809
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1693035528,0.1428571429,32753
H10-2015,H10-2023,16,7,7,0.1748760611,0.1428571429,32925
H15-2015,H15-2023,16,8,6,0.1855459286,0.1458333333,32600
H41-2015,H41-2023,16,7,4,0.2807849877,0.1964285714,32489
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2174884869,0.2,38376
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1878197969,0.1428571429,32709
