job_id,iteration,m,total_migration,pop,numClusters,mutation_rate,recombination_rate,pi_loss,fst_loss,ld_loss,ibd_loss,dxy_loss,genrel_loss
0,0,8.483140992020175e-05,0.1932492885359874,21035.12422294339,3.0,4.6580405432764054e-07,2.75e-06,0.02982465363236812,0.005538339238452289,0.013745009248115591,0.0010576667260646852,0.00014164357050923764,3.111770148939523e-05
0,1,0.0001374460449085168,0.1125382133405178,24619.319940809804,1.0,4.5308203947626727e-07,2.75e-06,0.020413692094295437,0.005916698922839712,0.014754993468507172,0.002705043823774658,0.0002458315342955259,3.157724679738298e-05
0,2,2.4960854533353558e-05,0.02751592117623174,13272.328039565416,1.0,4.67455716758473e-07,2.75e-06,0.03002992292947605,0.006845777278939892,0.013631904295968578,0.00047535189657231606,0.00015999819182631997,2.8369169206245975e-05
1,0,8.76411888670928e-05,0.12085517462320501,24239.003311185825,2.0,4.6377495597801135e-07,2.75e-06,0.026445513637570094,0.005483249193665842,0.014016203477890734,0.0014546173172070378,0.00013606111412003646,3.132309915627332e-05
1,1,0.0005160736723392605,0.22380713700559476,24502.898240166658,3.0,4.690585923736191e-07,2.75e-06,0.03673065093265337,0.010732390375788492,0.013978776057188086,0.008502345217676793,0.00026747534616694443,5.3148323684120814e-05
1,2,3.457039324436046e-05,0.016000179768037436,10405.273226875914,2.0,4.689720175551958e-07,2.75e-06,0.02113113805985729,0.021952214749634245,0.009090820310290426,0.0005379057943680976,0.00015213817740072842,1.9661746514987674e-05
2,0,7.922760868138223e-05,0.10936737428765064,3945.528528950639,1.0,4.761253034566983e-07,2.75e-06,0.02576209841308009,0.007511724984086948,0.013364916414082292,0.003384598198399088,0.00014415214781592523,5.449364372162011e-05
2,1,3.089035482724638e-05,0.20245219328433636,14643.206491016052,1.0,4.7407424903761056e-07,2.75e-06,0.04844656737565162,0.006203020202763097,0.014806137569054,0.0004969633192630736,0.00029987280002102324,3.204757049969038e-05
2,2,0.00018430414721780513,0.2675556820473243,14284.133684355085,1.0,4.5387428586964286e-07,2.75e-06,0.02684154791478376,0.007656716168280541,0.014517638781577592,0.005424488511384815,0.0004123426907538934,4.35749212217391e-05
3,0,0.0001727688831021421,0.2150069089997095,3403.908134660728,3.0,4.658298209392742e-07,2.75e-06,0.05463474527166227,0.037697072669840244,0.009301508034504935,0.04371928982826284,0.0002836331921298092,0.0007156084511640345
3,1,3.827839377966972e-05,0.09619815825627194,21758.776988096695,3.0,4.563846943218166e-07,2.75e-06,0.022271200931217316,0.005636999595602109,0.014537570437016896,0.0004853584944711486,0.0003303615344815813,3.060513105853702e-05
3,2,0.0007026585763731396,0.06771492899676136,3407.9152353229247,2.0,4.7501863531424975e-07,2.75e-06,0.08647773238971286,0.08801678173965787,0.003529462558563779,0.05293090539877653,0.0003291712955981692,0.0013192825538028286
4,0,0.0007940177050593102,0.0421602142047998,11313.113988977235,3.0,4.719171221700416e-07,2.75e-06,0.03441276638814135,0.048669786868620446,0.007932677776453451,0.021588399725145424,0.0002815363460955879,0.0002901341445011576
4,1,6.329970937589944e-05,0.16369293958600012,23293.021924219283,1.0,4.65089639102112e-07,2.75e-06,0.029340933477028708,0.006145356201610521,0.014851609545696358,0.0005297440585488139,0.00013715782694138443,3.220843728556597e-05
4,2,6.976541866241124e-06,0.22349103390177097,3908.9685584305357,1.0,4.695851041324349e-07,2.75e-06,0.023492556732609898,0.005734478977301417,0.014199652894155583,0.0005020256419985807,0.00014910595625134242,2.804869946437875e-05
5,0,1.912021815085948e-05,0.2827986879102397,7680.804330581742,1.0,4.786563589195672e-07,2.75e-06,0.06048798725827765,0.006163783151941168,0.014446197400976612,0.0005049724534165836,0.00045515138897182366,3.134576320765361e-05
5,1,0.0006260275312331823,0.2525261624519981,20686.892401828754,3.0,4.619883067417776e-07,2.75e-06,0.023750442524508256,0.01332849556920117,0.012638437647502438,0.01066711775952696,0.00016800904127206841,6.958230881107301e-05
5,2,0.00030222747642874787,0.08478908568509598,7205.666129369665,2.0,4.602527720332106e-07,2.75e-06,0.0360269636081813,0.02378136316631127,0.010456293680736787,0.017516028589272346,0.0002903157442420527,0.0002130749760520473
6,0,4.758199133775306e-05,0.10028523256440115,11941.741626922116,2.0,4.69673702953026e-07,2.75e-06,0.022564735574810143,0.005671772357428849,0.013061963275209067,0.0005656142195872386,0.00015130418666569682,2.9024201068731423e-05
6,1,7.965381843262695e-05,0.2786828266802995,9614.581853019363,2.0,4.802237551148248e-07,2.75e-06,0.05764674301990177,0.005562328257410162,0.014057816869022126,0.001129934491734655,0.0004336394402337859,3.0214470128927747e-05
6,2,0.0002891199509342514,0.03593484575659833,21241.63529841143,3.0,4.851070757074315e-07,2.75e-06,0.0557138033685986,0.015913761003902075,0.012286978454252757,0.008221095798369093,0.0006096389022870367,5.589477425727483e-05
7,0,0.0007417689763277833,0.18109548186382965,6379.991630127705,1.0,4.782230630158108e-07,2.75e-06,0.03995142996074033,0.028286984055677353,0.011127116262233212,0.019550808137656462,0.0005003801659263098,0.0002736132383985404
7,1,0.00038924933253531025,0.09556940970772715,9371.157557984261,2.0,4.7000396884751554e-07,2.75e-06,0.028726632610420157,0.02091928238104308,0.011492944417231712,0.014981634090733595,0.0001864165656640265,0.00016522143170327212
7,2,0.0023447120394933093,0.29350461103246345,9909.668569351377,1.0,4.7042461731449806e-07,2.75e-06,0.03797751272263164,0.03542086872254561,0.010494909557572464,0.012179967317770017,0.00021266490273106841,0.00024385109831262755
8,0,3.696379113995123e-05,0.26727143606246934,17923.246454360582,2.0,4.6729819257554747e-07,2.75e-06,0.03547846450973415,0.006169442241426834,0.014097719444864753,0.0004948626057415712,0.00016703222324384716,3.189455559980504e-05
