site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2674656578,0.1964285714,31032
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1770071724,0.1428571429,31337
Alsum18-2019,Alsum18-2023,8,7,6,0.2201709662,0.1547619048,30066
Alsum59-2019,Alsum59-2023,8,6,7,0.2142893138,0.1547619048,30246
Arlington-2019,Arlington-2023,8,7,7,0.1902586015,0.1428571429,30556
XMASBig-2019,XMASBig-2023,8,5,5,0.2607785191,0.2,34935
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1670102285,0.1428571429,31060
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1756993562,0.1428571429,31210
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.200986696,0.1428571429,31047
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1792434289,0.1428571429,30951
Arlington-2015,Arlington-2023,16,4,7,0.2471800333,0.1964285714,31438
C5-2015,C5-2023,16,7,7,0.1810424296,0.1428571429,31235
C44-L15-2015,C44-L15-2023,16,7,7,0.1954500571,0.1428571429,31141
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1810969728,0.1428571429,31112
H10-2015,H10-2023,16,7,7,0.1837097548,0.1428571429,31346
H15-2015,H15-2023,16,8,6,0.1823948422,0.1458333333,30904
H41-2015,H41-2023,16,7,4,0.235086678,0.1964285714,31832
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2594676379,0.2,35128
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1860588893,0.1428571429,31317
