site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2323708572,0.1964285714,33598
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.162103121,0.1428571429,33497
Alsum18-2019,Alsum18-2023,8,7,6,0.2012184871,0.1547619048,32543
Alsum59-2019,Alsum59-2023,8,6,7,0.1874792918,0.1547619048,32234
Arlington-2019,Arlington-2023,8,7,7,0.1715939573,0.1428571429,33701
XMASBig-2019,XMASBig-2023,8,5,5,0.2333831878,0.2,39443
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1735950338,0.1428571429,33772
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1719531728,0.1428571429,33498
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1811050117,0.1428571429,33620
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1663008905,0.1428571429,33547
Arlington-2015,Arlington-2023,16,4,7,0.2493348605,0.1964285714,33990
C5-2015,C5-2023,16,7,7,0.1891889182,0.1428571429,33252
C44-L15-2015,C44-L15-2023,16,7,7,0.1787966818,0.1428571429,33374
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1871118484,0.1428571429,33785
H10-2015,H10-2023,16,7,7,0.2012738762,0.1428571429,33900
H15-2015,H15-2023,16,8,6,0.1788328681,0.1458333333,33377
H41-2015,H41-2023,16,7,4,0.2503935191,0.1964285714,33835
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2312632527,0.2,40048
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1918751921,0.1428571429,33609
