year,site,n,n_ind,median,mean,max,ge_3rd,ge_2nd,ge_1st,baseline_pct,n_snps
2015,Alsum140-2015,21,7,-0.3890709153926215,-0.3835775435295074,-0.28707272603352224,0,0,0,5.82773458141466,36878975
2015,Alsum25-2015,55,11,-0.3016739011193738,-0.24997359067112046,0.3055901295361044,2,2,1,68.45323469464785,36878975
2015,Arlington-2015,6,4,-0.29777291343704587,-0.297936450696527,-0.2714528221246969,0,0,0,71.85777911980071,36878975
2015,Arlington2015,1,2,-0.2769186390211408,-0.2769186390211408,-0.2769186390211408,0,0,0,87.55944742205783,36878975
2015,BrilowskiHome-2015,21,7,-0.3198232228217915,-0.32097385811249,-0.2834097161548287,0,0,0,49.24888654034876,36878975
2015,BrilowskiNE-2015,21,7,-0.3062001575233289,-0.3067823282266105,-0.23014668351245032,0,0,0,63.991847210689215,36878975
2015,C44-L15-2015,21,7,-0.2710535917086497,-0.2736618189230902,-0.22530100215811413,0,0,0,90.31478825394429,36878975
2015,C5-2015,21,7,-0.3199941943978088,-0.3348768834676344,-0.2796011578495456,0,0,0,49.06771344455348,36878975
2015,GarrisonNE-2015,21,7,-0.30822141449092133,-0.31226366902938923,-0.23421163903712622,0,0,0,61.84041669812033,36878975
2015,H10-2015,21,7,-0.32432622647439546,-0.3395586723956264,-0.26300162353670936,0,0,0,44.25152864799578,36878975
2015,H15-2015,28,8,-0.30162564449401863,-0.2993365199290817,-0.25284544750187327,0,0,0,68.49097908960519,36878975
2015,H41-2015,21,7,-0.3124869812227655,-0.3059581551793106,-0.2385976688937564,0,0,0,57.25069827130671,36878975
2015,H53-2015,171,19,-0.30740812241969406,-0.3066020104769697,-0.23719480790240163,0,0,0,62.716086661130824,36878975
2015,H67-2015,1,2,-0.35039765449568744,-0.35039765449568744,-0.35039765449568744,0,0,0,21.416169698799727,36878975
2015,Hesler-2015,21,7,-0.3244952550530829,-0.3276293176311934,-0.2948288006935978,0,0,0,44.01751339926021,36878975
2015,LaszSE-O14-2015,10,5,-0.3038204711863799,-0.31923868280966533,-0.26919126643441754,0,0,0,66.34709745602778,36878975
2015,Mortensen9-2015,10,5,-0.23923292668975515,-0.20887478563541867,-0.017185676817892372,0,0,0,97.65984751264438,36878975
2015,PFEast-2015,21,7,-0.3444495885029664,-0.3516174557414501,-0.31951971233506393,0,0,0,25.59069978108251,36878975
2015,Paramount257-2015,21,7,-0.2949271851788975,-0.29554926256247394,-0.2565888736642377,0,0,0,74.42439797690042,36878975
2015,Paramount528-2015,21,7,-0.26946308289561227,-0.2701930169949937,-0.21067994107181728,0,0,0,91.08477391107421,36878975
2015,Paramount652-2015,21,7,-0.31735235803880846,-0.3155864316122908,-0.2566839677916981,0,0,0,51.958934098286406,36878975
2015,Refuge-2015,28,8,-0.3140227796524322,-0.31904716992649684,-0.2865724593948214,0,0,0,55.58239601419189,36878975
2015,SilverValley-2015,10,5,-0.3530949556999685,-0.34004337679737223,-0.2927755089189256,0,0,0,19.71767192571903,36878975
2015,Wysocki122-2015,21,7,-0.31748963995989854,-0.3233776514802276,-0.27840107620069177,0,0,0,51.84570091341436,36878975
2019,Alsum18-2019,21,7,-0.30708325351010424,-0.3054012901263847,-0.2662895716993751,0,0,0,66.14147909967846,36829561
2019,Alsum59-2019,21,7,-0.361722827293942,-0.3989597264643,-0.27404908645970066,0,0,0,11.89710610932476,36829561
2019,Arlington-2019,21,7,-0.2997283302702344,-0.3127780243500557,-0.27339531784621157,0,0,0,74.26045016077171,36829561
2019,ColomaBonus-2019,21,7,-0.3124896510489245,-0.31149408504208326,-0.2456816922913837,0,0,0,60.0,36829561
2019,ColomaBonus4-2019,21,7,-0.3328901088754019,-0.3398892732533587,-0.2578652515363284,0,0,0,35.59485530546624,36829561
2019,ColomaLyons-2019,21,7,-0.31993554024062365,-0.31970108864602775,-0.27692766121763535,0,0,0,50.88424437299035,36829561
2019,OkrayGarrisonNE-2019,21,7,-0.3246509679364642,-0.3225891741946227,-0.2918032308691211,0,0,0,45.09646302250804,36829561
2019,OkrayGrosheks40-2019,21,7,-0.3049009946834498,-0.2434372234376512,0.09677740797682892,1,1,0,68.89067524115757,36829561
2019,OkrayPFWiper-2019,10,5,-0.3619351314033903,-0.3596277920635549,-0.32558140465425156,0,0,0,11.832797427652734,36829561
2019,OkrayRobacks-2019,21,7,-0.29220282803844855,-0.28214048513838674,-0.18072660224508685,0,0,0,81.86495176848875,36829561
2019,PloverBrikalskiPats-2019,21,7,-0.2977048349962215,-0.2979844018917796,-0.2786116727276354,0,0,0,76.2218649517685,36829561
