ind_a,ind_b,site_a,site_b,within_site,n_hethet,n_opphom,n_het_a,n_het_b,kinship,degree
S21,S22,Alsum18-2023,Alsum18-2023,1,3532497,1712847,7931062,9662065,0.006071,unrelated
S21,S23,Alsum18-2023,Alsum18-2023,1,1980209,3402620,7931062,7132646,-0.320308,unrelated
S21,S24,Alsum18-2023,Alsum18-2023,1,1862337,3513493,7931062,6928060,-0.347574,unrelated
S21,S25,Alsum18-2023,Alsum18-2023,1,1946593,3373732,7931062,6942334,-0.322782,unrelated
S21,S26,Alsum18-2023,Alsum18-2023,1,2215677,3109001,7931062,8096949,-0.249708,unrelated
S21,S27,Alsum18-2023,Alsum18-2023,1,2665281,2644413,7931062,9681654,-0.148957,unrelated
S21,S45,Alsum18-2023,Alsum59-2023,0,2077403,3317509,7931062,7560944,-0.294191,unrelated
S21,S46,Alsum18-2023,Alsum59-2023,0,2172488,3238615,7931062,7952347,-0.271021,unrelated
S21,S47,Alsum18-2023,Alsum59-2023,0,2126244,3308571,7931062,7667572,-0.287903,unrelated
S21,S48,Alsum18-2023,Alsum59-2023,0,2096379,3294991,7931062,7631822,-0.288738,unrelated
S21,S49,Alsum18-2023,Alsum59-2023,0,2001681,3441524,7931062,7264795,-0.321230,unrelated
S21,S50,Alsum18-2023,Alsum59-2023,0,1965297,3384399,7931062,7201669,-0.317425,unrelated
S21,S51,Alsum18-2023,Alsum59-2023,0,2087163,3212578,7931062,7575481,-0.279752,unrelated
S21,S58,Alsum18-2023,Arlington-2023,0,2139867,3140831,7931062,7652045,-0.265787,unrelated
S21,S59,Alsum18-2023,Arlington-2023,0,1970452,3366307,7931062,7062874,-0.317606,unrelated
S21,S60,Alsum18-2023,Arlington-2023,0,2119347,3186352,7931062,7568897,-0.274411,unrelated
S21,S61,Alsum18-2023,Arlington-2023,0,2100177,3234823,7931062,7707594,-0.279402,unrelated
S21,S62,Alsum18-2023,Arlington-2023,0,2074338,3308930,7931062,7384548,-0.296660,unrelated
