ind_a,ind_b,site_a,site_b,within_site,n_hethet,n_opphom,n_het_a,n_het_b,kinship,degree
S1,S2,Alsum18-2019,Alsum18-2019,1,1899018,3468457,7209009,7117444,-0.351650,unrelated
S1,S3,Alsum18-2019,Alsum18-2019,1,1985785,3374088,7209009,7877366,-0.315675,unrelated
S1,S4,Alsum18-2019,Alsum18-2019,1,1966270,3284148,7209009,7720650,-0.308247,unrelated
S1,S5,Alsum18-2019,Alsum18-2019,1,1985891,3439088,7209009,7498440,-0.332640,unrelated
S1,S6,Alsum18-2019,Alsum18-2019,1,1928354,3322094,7209009,7414721,-0.322478,unrelated
S1,S7,Alsum18-2019,Alsum18-2019,1,2012412,3394543,7209009,7637043,-0.321747,unrelated
S1,S29,Alsum18-2019,Alsum59-2019,0,1965679,3569059,7209009,7329524,-0.355774,unrelated
S1,S30,Alsum18-2019,Alsum59-2019,0,1855957,3487929,7209009,7014576,-0.359959,unrelated
S1,S31,Alsum18-2019,Alsum59-2019,0,1835177,3622328,7209009,6986552,-0.381068,unrelated
S1,S32,Alsum18-2019,Alsum59-2019,0,1213286,4051064,7209009,4933591,-0.567328,unrelated
S1,S33,Alsum18-2019,Alsum59-2019,0,1899898,3399132,7209009,7591187,-0.330966,unrelated
S1,S34,Alsum18-2019,Alsum59-2019,0,1886370,3515060,7209009,7475350,-0.350288,unrelated
S1,S35,Alsum18-2019,Alsum59-2019,0,1969426,3400287,7209009,7905307,-0.319641,unrelated
S1,S66,Alsum18-2019,Arlington-2019,0,1897486,3570237,7209009,7554876,-0.355123,unrelated
S1,S67,Alsum18-2019,Arlington-2019,0,1919868,3400447,7209009,7545213,-0.330822,unrelated
S1,S68,Alsum18-2019,Arlington-2019,0,1941360,3320943,7209009,7622727,-0.316924,unrelated
S1,S69,Alsum18-2019,Arlington-2019,0,1882451,3568697,7209009,7036507,-0.368884,unrelated
S1,S70,Alsum18-2019,Arlington-2019,0,1885127,3430029,7209009,7500795,-0.338205,unrelated
S1,S71,Alsum18-2019,Arlington-2019,0,1975126,3436660,7209009,7545169,-0.331987,unrelated
S1,S72,Alsum18-2019,Arlington-2019,0,2086144,3334242,7209009,8036250,-0.300575,unrelated
S1,S93,Alsum18-2019,ColomaBonus4-2019,0,1760569,3807247,7209009,6925377,-0.414162,unrelated
S1,S94,Alsum18-2019,ColomaBonus4-2019,0,2082733,3413777,7209009,8067681,-0.310592,unrelated
S1,S95,Alsum18-2019,ColomaBonus4-2019,0,1898093,3576120,7209009,7706268,-0.352266,unrelated
S1,S96,Alsum18-2019,ColomaBonus4-2019,0,1988028,3396164,7209009,7988131,-0.316132,unrelated
S1,S97,Alsum18-2019,ColomaBonus4-2019,0,1767601,3733276,7209009,7124061,-0.397609,unrelated
S1,S98,Alsum18-2019,ColomaBonus4-2019,0,1866839,3735486,7209009,7184607,-0.389349,unrelated
