site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2411522187,0.1964285714,33501
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1826504259,0.1428571429,32656
Alsum18-2019,Alsum18-2023,8,7,6,0.1803241617,0.1547619048,31774
Alsum59-2019,Alsum59-2023,8,6,7,0.1998093968,0.1547619048,31818
Arlington-2019,Arlington-2023,8,7,7,0.1721585297,0.1428571429,32904
XMASBig-2019,XMASBig-2023,8,5,5,0.2191974414,0.2,38021
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1868703991,0.1428571429,32597
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1789652679,0.1428571429,32340
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1862031605,0.1428571429,32702
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1795440034,0.1428571429,32632
Arlington-2015,Arlington-2023,16,4,7,0.2400528887,0.1964285714,33740
C5-2015,C5-2023,16,7,7,0.1740591269,0.1428571429,32530
C44-L15-2015,C44-L15-2023,16,7,7,0.1705774115,0.1428571429,32701
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1791032374,0.1428571429,32533
H10-2015,H10-2023,16,7,7,0.1712378246,0.1428571429,32605
H15-2015,H15-2023,16,8,6,0.1814071897,0.1458333333,32530
H41-2015,H41-2023,16,7,4,0.2602558731,0.1964285714,32863
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2199953729,0.2,38326
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1743386715,0.1428571429,32736
