site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2288981857,0.1964285714,31801
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.191729535,0.1428571429,30457
Alsum18-2019,Alsum18-2023,8,7,6,0.2357608555,0.1547619048,29590
Alsum59-2019,Alsum59-2023,8,6,7,0.1935977241,0.1547619048,29786
Arlington-2019,Arlington-2023,8,7,7,0.1869670591,0.1428571429,30853
XMASBig-2019,XMASBig-2023,8,5,5,0.2375351025,0.2,34897
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1998036485,0.1428571429,30578
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1895426431,0.1428571429,30608
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1876468393,0.1428571429,30532
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1779781493,0.1428571429,30500
Arlington-2015,Arlington-2023,16,4,7,0.2345429116,0.1964285714,31681
C5-2015,C5-2023,16,7,7,0.1832445749,0.1428571429,30945
C44-L15-2015,C44-L15-2023,16,7,7,0.2143954376,0.1428571429,30263
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1923390463,0.1428571429,30201
H10-2015,H10-2023,16,7,7,0.2026843526,0.1428571429,30471
H15-2015,H15-2023,16,8,6,0.2043426586,0.1458333333,30453
H41-2015,H41-2023,16,7,4,0.2507966211,0.1964285714,31250
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2401289888,0.2,34862
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.2011476662,0.1428571429,30546
