bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,0.10641,0.120047,0.0438187,0.0742421,0.0651201,0.0495185,0.204861,0.0413622,0.0915427,0.107365,0.0856639,0.0402119,0.0623932,0.0693022,0.0912418,0.110159,0.112048,5,6,10,8,8,6,4,7,5,8,7,6,6,8,8,4,5
100,178,133.417,0.258684,0.218858,0.241348,0.213475,0.211146,0.220538,0.248936,0.192688,0.195095,0.221872,0.248606,0.19501,0.21229,0.204191,0.235132,0.20876,0.206077,245,248,247,248,256,252,226,266,239,208,204,272,247,257,229,253,236
178,316,237.167,0.157908,0.164486,0.164396,0.152452,0.153139,0.149328,0.209801,0.150739,0.162715,0.229422,0.175611,0.154989,0.173226,0.152922,0.17288,0.162372,0.169322,204,232,234,224,219,227,189,217,211,205,179,252,211,217,223,220,201
316,562,421.417,0.148582,0.139902,0.162898,0.136236,0.137154,0.147285,0.170626,0.137653,0.154226,0.155265,0.203768,0.145098,0.152262,0.138088,0.149704,0.155855,0.142127,459,468,484,510,490,478,398,484,437,455,402,530,471,487,507,491,452
562,1000,749.667,0.132141,0.12666,0.121658,0.118531,0.122915,0.122119,0.147401,0.106464,0.127981,0.15239,0.142284,0.123842,0.139596,0.119437,0.127009,0.127724,0.130487,815,880,884,918,872,890,728,911,799,793,729,933,831,905,866,871,857
1000,1778,1333.42,0.117411,0.11086,0.120922,0.105908,0.109081,0.111108,0.143975,0.0997762,0.111527,0.129116,0.138125,0.10604,0.117408,0.100247,0.101312,0.109177,0.108333,1537,1558,1563,1619,1540,1617,1291,1614,1491,1398,1351,1690,1542,1614,1592,1603,1547
1778,3162,2371.08,0.106617,0.101312,0.108064,0.0983518,0.105675,0.0976442,0.125469,0.0953346,0.107404,0.124782,0.125591,0.0910862,0.106985,0.0953232,0.102799,0.106656,0.102491,2661,2750,2742,2889,2811,2813,2340,2880,2672,2415,2403,2948,2738,2810,2811,2780,2670
