site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2244895693,0.1964285714,33676
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1792680131,0.1428571429,33034
Alsum18-2019,Alsum18-2023,8,7,6,0.1933914112,0.1547619048,31988
Alsum59-2019,Alsum59-2023,8,6,7,0.1942019972,0.1547619048,31921
Arlington-2019,Arlington-2023,8,7,7,0.1730374969,0.1428571429,32931
XMASBig-2019,XMASBig-2023,8,5,5,0.232556761,0.2,38821
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1843133558,0.1428571429,33043
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.181805604,0.1428571429,32881
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1829481521,0.1428571429,33088
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.168413835,0.1428571429,32883
Arlington-2015,Arlington-2023,16,4,7,0.2410778227,0.1964285714,34140
C5-2015,C5-2023,16,7,7,0.1892007515,0.1428571429,32956
C44-L15-2015,C44-L15-2023,16,7,7,0.1847577627,0.1428571429,33100
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1867847814,0.1428571429,33122
H10-2015,H10-2023,16,7,7,0.1868656473,0.1428571429,33193
H15-2015,H15-2023,16,8,6,0.1876078517,0.1458333333,33048
H41-2015,H41-2023,16,7,4,0.2367904793,0.1964285714,33867
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2340331496,0.2,39234
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1935676423,0.1428571429,33049
