site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2310879966,0.1964285714,35037
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1724542194,0.1428571429,33519
Alsum18-2019,Alsum18-2023,8,7,6,0.1883687838,0.1547619048,32633
Alsum59-2019,Alsum59-2023,8,6,7,0.1962678709,0.1547619048,32603
Arlington-2019,Arlington-2023,8,7,7,0.1662307381,0.1428571429,33217
XMASBig-2019,XMASBig-2023,8,5,5,0.2294263029,0.2,40173
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1719132318,0.1428571429,33429
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1736671454,0.1428571429,33374
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1678117139,0.1428571429,33285
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1764833177,0.1428571429,33447
Arlington-2015,Arlington-2023,16,4,7,0.2375166199,0.1964285714,35174
C5-2015,C5-2023,16,7,7,0.1734352971,0.1428571429,33383
C44-L15-2015,C44-L15-2023,16,7,7,0.1737857902,0.1428571429,33542
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1752377296,0.1428571429,33468
H10-2015,H10-2023,16,7,7,0.1819171089,0.1428571429,33300
H15-2015,H15-2023,16,8,6,0.1819136613,0.1458333333,33387
H41-2015,H41-2023,16,7,4,0.2446059687,0.1964285714,34369
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2281893376,0.2,40798
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1797519068,0.1428571429,33576
