0.000000,0.000000,1.000000,2.000000,3.000000,4.000000,5.000000,6.000000,7.000000,8.000000,9.000000,10.000000,11.000000,12.000000,13.000000,14.000000,15.000000,16.000000,17.000000,18.000000,19.000000,20.000000,21.000000,22.000000,23.000000,24.000000,25.000000,26.000000,27.000000,28.000000,29.000000,30.000000,31.000000,32.000000
0.000000,0.000000,0.001244,0.000251,0.000461,0.005172,0.000072,0.000888,0.000960,0.002568,0.000776,0.005617,0.000558,0.000329,0.004244,0.002280,0.000683,0.000674,0.004010,0.001621,0.000096,0.001710,0.001276,0.006948,0.000304,0.000065,0.000858,0.000514,0.000125,0.000527,0.002339,0.001043,0.000325,0.001465
1.000000,0.000533,0.000000,0.000962,0.000020,0.001384,0.000340,0.001235,0.004089,0.001663,0.001082,0.000525,0.000022,0.000928,0.000839,0.001922,0.003223,0.002247,0.001820,0.004041,0.000321,0.002882,0.000049,0.000924,0.001408,0.000289,0.003951,0.001359,0.000582,0.002224,0.003097,0.003082,0.001515,0.001442
2.000000,0.000171,0.001531,0.000000,0.000006,0.000401,0.001720,0.000428,0.002189,0.000433,0.001805,0.000230,0.000007,0.004806,0.000220,0.000977,0.002495,0.003489,0.000565,0.001374,0.003063,0.000770,0.000017,0.000263,0.004316,0.002215,0.001802,0.000718,0.003113,0.004043,0.000938,0.002251,0.002418,0.001229
3.000000,0.001922,0.000197,0.000036,0.000000,0.000825,0.000012,0.000271,0.000145,0.000586,0.000112,0.001087,0.027311,0.000046,0.001257,0.000319,0.000108,0.000096,0.000593,0.000241,0.000013,0.000330,0.012047,0.001253,0.000047,0.000010,0.000143,0.000129,0.000020,0.000078,0.000352,0.000149,0.000056,0.000210
4.000000,0.003042,0.001900,0.000346,0.000117,0.000000,0.000110,0.001214,0.001418,0.003527,0.000807,0.002142,0.000130,0.000411,0.003557,0.002535,0.001039,0.000917,0.005615,0.002355,0.000124,0.002642,0.000285,0.005296,0.000455,0.000095,0.001328,0.000771,0.000188,0.000763,0.003452,0.001427,0.000505,0.001485
5.000000,0.000092,0.001017,0.003227,0.000004,0.000239,0.000000,0.000568,0.001298,0.000350,0.000634,0.000101,0.000004,0.001668,0.000164,0.000435,0.001855,0.001513,0.000315,0.000769,0.002486,0.000630,0.000009,0.000161,0.004076,0.008213,0.001449,0.001203,0.009547,0.002207,0.000541,0.001068,0.003681,0.000475
6.000000,0.000828,0.002688,0.000586,0.000061,0.001926,0.000414,0.000000,0.001980,0.004373,0.000497,0.000512,0.000054,0.000464,0.002409,0.001121,0.002141,0.001088,0.001858,0.002090,0.000193,0.004729,0.000097,0.001637,0.001138,0.000263,0.002893,0.005906,0.000578,0.001284,0.002260,0.001406,0.001802,0.000724
7.000000,0.000403,0.004006,0.001348,0.000015,0.001012,0.000426,0.000891,0.000000,0.001132,0.001342,0.000441,0.000016,0.001302,0.000580,0.001808,0.003850,0.003140,0.001381,0.003414,0.000452,0.001963,0.000038,0.000667,0.001824,0.000386,0.003698,0.001111,0.000749,0.003086,0.002361,0.003872,0.001719,0.001568
8.000000,0.001635,0.002471,0.000404,0.000089,0.003818,0.000174,0.002985,0.001717,0.000000,0.000603,0.001011,0.000088,0.000401,0.004081,0.001699,0.001455,0.000966,0.003399,0.002435,0.000134,0.004816,0.000174,0.003236,0.000643,0.000131,0.001992,0.001722,0.000278,0.000938,0.003226,0.001433,0.000834,0.001012
9.000000,0.000598,0.001946,0.002040,0.000021,0.001057,0.000382,0.000411,0.002464,0.000730,0.000000,0.001043,0.000028,0.003626,0.000478,0.003369,0.001827,0.003739,0.001512,0.002479,0.001114,0.001055,0.000071,0.000721,0.001401,0.000492,0.001578,0.000474,0.000702,0.002456,0.001981,0.003650,0.000947,0.005608
10.000000,0.006454,0.001407,0.000387,0.000300,0.004185,0.000091,0.000630,0.001207,0.001825,0.001554,0.000000,0.000419,0.000578,0.002343,0.003656,0.000815,0.001010,0.004121,0.001993,0.000169,0.001485,0.001082,0.004258,0.000393,0.000093,0.000943,0.000425,0.000164,0.000722,0.002631,0.001492,0.000366,0.002801
11.000000,0.001918,0.000179,0.000035,0.022530,0.000761,0.000010,0.000200,0.000135,0.000478,0.000124,0.001254,0.000000,0.000048,0.001010,0.000330,0.000098,0.000094,0.000564,0.000227,0.000014,0.000278,0.017464,0.001132,0.000043,0.000009,0.000126,0.000098,0.000018,0.000074,0.000330,0.000146,0.000048,0.000228
12.000000,0.000247,0.001622,0.005281,0.000008,0.000523,0.000977,0.000373,0.002323,0.000472,0.003525,0.000377,0.000010,0.000000,0.000260,0.001487,0.002206,0.004254,0.000751,0.001668,0.002997,0.000793,0.000026,0.000344,0.002754,0.001375,0.001654,0.000551,0.001755,0.003634,0.001169,0.002860,0.001601,0.002122
13.000000,0.003588,0.001656,0.000272,0.000255,0.005112,0.000108,0.002183,0.001167,0.005418,0.000524,0.001723,0.000248,0.000293,0.000000,0.001629,0.000937,0.000689,0.003656,0.001805,0.000093,0.003019,0.000467,0.006369,0.000409,0.000083,0.001267,0.001124,0.000174,0.000626,0.002585,0.001055,0.000517,0.000950
14.000000,0.001267,0.002491,0.000796,0.000043,0.002395,0.000189,0.000668,0.002392,0.001483,0.002428,0.001768,0.000053,0.001102,0.001071,0.000000,0.001595,0.002105,0.003405,0.003632,0.000321,0.001812,0.000130,0.001634,0.000812,0.000194,0.001706,0.000599,0.000342,0.001504,0.003789,0.003109,0.000712,0.004454
15.000000,0.000310,0.003414,0.001661,0.000012,0.000802,0.000658,0.001042,0.004162,0.001037,0.001076,0.000322,0.000013,0.001336,0.000503,0.001303,0.000000,0.002918,0.001061,0.002545,0.000542,0.001877,0.000029,0.000536,0.002713,0.000554,0.004506,0.001522,0.001126,0.003744,0.001817,0.002918,0.002785,0.001156
16.000000,0.000325,0.002533,0.002471,0.000011,0.000753,0.000571,0.000563,0.003612,0.000733,0.002342,0.000424,0.000013,0.002741,0.000393,0.001830,0.003104,0.000000,0.001067,0.002531,0.000892,0.001239,0.000032,0.000493,0.002354,0.000612,0.002463,0.000760,0.001047,0.004326,0.001741,0.004267,0.001681,0.002075
17.000000,0.002162,0.002289,0.000446,0.000077,0.005147,0.000133,0.001074,0.001773,0.002879,0.001057,0.001933,0.000088,0.000541,0.002332,0.003304,0.001261,0.001191,0.000000,0.002986,0.000162,0.002668,0.000201,0.003398,0.000561,0.000119,0.001560,0.000765,0.000231,0.000966,0.004325,0.001854,0.000591,0.001926
18.000000,0.000702,0.004085,0.000873,0.000025,0.001735,0.000260,0.000970,0.003522,0.001656,0.001393,0.000751,0.000029,0.000964,0.000925,0.002832,0.002429,0.002270,0.002399,0.000000,0.000305,0.002536,0.000066,0.001137,0.001112,0.000237,0.002767,0.000966,0.000457,0.001926,0.004064,0.003475,0.001095,0.002037
19.000000,0.000135,0.001050,0.006302,0.000005,0.000296,0.002726,0.000290,0.001511,0.000296,0.002028,0.000206,0.000006,0.005611,0.000154,0.000812,0.001676,0.002593,0.000423,0.000988,0.000000,0.000522,0.000014,0.000194,0.003157,0.005307,0.001211,0.000505,0.003917,0.002737,0.000680,0.001674,0.001808,0.001163
20.000000,0.000912,0.003585,0.000602,0.000042,0.002396,0.000263,0.002703,0.002492,0.004034,0.000730,0.000689,0.000043,0.000564,0.001905,0.001739,0.002205,0.001368,0.002639,0.003121,0.000198,0.000000,0.000089,0.001745,0.000978,0.000200,0.003029,0.002100,0.000422,0.001396,0.003503,0.001940,0.001254,0.001112
21.000000,0.004408,0.000399,0.000085,0.009986,0.001675,0.000023,0.000359,0.000309,0.000942,0.000320,0.003253,0.017549,0.000120,0.001908,0.000811,0.000219,0.000227,0.001287,0.000523,0.000035,0.000574,0.000000,0.002411,0.000098,0.000021,0.000276,0.000186,0.000040,0.000172,0.000751,0.000347,0.000105,0.000580
22.000000,0.004929,0.001528,0.000273,0.000213,0.006386,0.000089,0.001245,0.001127,0.003605,0.000664,0.002629,0.000233,0.000326,0.005345,0.002086,0.000837,0.000724,0.004471,0.001863,0.000098,0.002322,0.000495,0.000000,0.000365,0.000075,0.001086,0.000717,0.000151,0.000605,0.002731,0.001127,0.000417,0.001239
