bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,0.347269,0.269513,0.25553,0.29,0.338499,0.352123,0.822222,0.298559,0.205876,0.355597,0.306731,0.226545,0.273587,0.249975,0.323299,0.577121,0.301361,9,13,10,11,8,9,5,10,14,10,9,12,13,13,11,8,9
100,178,133.417,0.207405,0.189424,0.235445,0.193204,0.202941,0.230526,0.259608,0.183408,0.207641,0.222082,0.269895,0.206224,0.198601,0.202888,0.163546,0.196045,0.209599,220,247,212,252,246,233,184,239,250,226,186,243,247,235,249,254,229
178,316,237.167,0.187903,0.16002,0.199328,0.183083,0.194612,0.184635,0.244032,0.160061,0.176805,0.151739,0.253394,0.175411,0.175958,0.172983,0.176601,0.169655,0.16812,248,269,227,254,236,242,182,268,244,247,175,238,267,251,265,248,245
316,562,421.417,0.139325,0.118248,0.157601,0.1252,0.140732,0.147436,0.189464,0.122583,0.130403,0.136758,0.197559,0.136668,0.119863,0.124581,0.130939,0.136165,0.13448,456,498,454,504,481,464,330,487,497,505,331,471,517,494,506,456,479
562,1000,749.667,0.127925,0.113134,0.14597,0.121729,0.123022,0.129368,0.187857,0.12832,0.122343,0.127686,0.200085,0.121896,0.11149,0.132431,0.114186,0.122529,0.126918,875,983,854,906,888,852,622,918,942,885,673,884,981,882,960,890,901
1000,1778,1333.42,0.109821,0.0987856,0.142673,0.0953826,0.117511,0.123574,0.173767,0.0980499,0.105752,0.110387,0.172483,0.10526,0.0939981,0.110757,0.10835,0.0998507,0.105463,1500,1648,1447,1636,1496,1476,1098,1661,1619,1573,1133,1499,1618,1595,1652,1566,1581
1778,3162,2371.08,0.105376,0.0959997,0.116447,0.090508,0.0997424,0.11029,0.161358,0.0937525,0.0947097,0.10425,0.153503,0.100447,0.0913203,0.0968557,0.0978554,0.0943014,0.0950317,2774,3082,2690,2958,2794,2719,2004,3048,3028,2842,2090,2826,3054,2819,3051,2863,2851
