site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2401268822,0.1964285714,32991
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1723145316,0.1428571429,33082
Alsum18-2019,Alsum18-2023,8,7,6,0.2211550132,0.1547619048,32106
Alsum59-2019,Alsum59-2023,8,6,7,0.1806027776,0.1547619048,31813
Arlington-2019,Arlington-2023,8,7,7,0.1738167071,0.1428571429,33069
XMASBig-2019,XMASBig-2023,8,5,5,0.2253053507,0.2,38147
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1821980193,0.1428571429,33009
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1810495629,0.1428571429,33252
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1732158299,0.1428571429,33173
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.166927797,0.1428571429,33136
Arlington-2015,Arlington-2023,16,4,7,0.2464905407,0.1964285714,32964
C5-2015,C5-2023,16,7,7,0.174136118,0.1428571429,33050
C44-L15-2015,C44-L15-2023,16,7,7,0.1936444399,0.1428571429,32558
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1835480747,0.1428571429,33182
H10-2015,H10-2023,16,7,7,0.200041183,0.1428571429,32974
H15-2015,H15-2023,16,8,6,0.1790242993,0.1458333333,33036
H41-2015,H41-2023,16,7,4,0.2627901025,0.1964285714,32788
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2311745622,0.2,39469
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1928989976,0.1428571429,33235
