site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2279676046,0.1964285714,34791
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1673829118,0.1428571429,34176
Alsum18-2019,Alsum18-2023,8,7,6,0.1799474946,0.1547619048,33054
Alsum59-2019,Alsum59-2023,8,6,7,0.1943164404,0.1547619048,33389
Arlington-2019,Arlington-2023,8,7,7,0.1739652665,0.1428571429,34029
XMASBig-2019,XMASBig-2023,8,5,5,0.2363005495,0.2,40969
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1736204893,0.1428571429,34246
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1668601537,0.1428571429,33808
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1733205208,0.1428571429,33894
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1624372607,0.1428571429,34103
Arlington-2015,Arlington-2023,16,4,7,0.2334888283,0.1964285714,35000
C5-2015,C5-2023,16,7,7,0.1762890239,0.1428571429,34098
C44-L15-2015,C44-L15-2023,16,7,7,0.1721645764,0.1428571429,33723
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1744433163,0.1428571429,34032
H10-2015,H10-2023,16,7,7,0.1758744353,0.1428571429,33940
H15-2015,H15-2023,16,8,6,0.1802807857,0.1458333333,33822
H41-2015,H41-2023,16,7,4,0.2336091951,0.1964285714,35003
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2276950793,0.2,40859
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1688682061,0.1428571429,33827
