site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2512161188,0.1964285714,31549
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1970070941,0.1428571429,31567
Alsum18-2019,Alsum18-2023,8,7,6,0.194736079,0.1547619048,31010
Alsum59-2019,Alsum59-2023,8,6,7,0.2045990708,0.1547619048,30491
Arlington-2019,Arlington-2023,8,7,7,0.1959217724,0.1428571429,31336
XMASBig-2019,XMASBig-2023,8,5,5,0.2288301906,0.2,36184
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1928053801,0.1428571429,31601
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1816373127,0.1428571429,31219
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.2037294418,0.1428571429,31516
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1911197248,0.1428571429,31341
Arlington-2015,Arlington-2023,16,4,7,0.2717680047,0.1964285714,31561
C5-2015,C5-2023,16,7,7,0.1866114652,0.1428571429,31435
C44-L15-2015,C44-L15-2023,16,7,7,0.1801409648,0.1428571429,31387
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1846534079,0.1428571429,31524
H10-2015,H10-2023,16,7,7,0.1903417604,0.1428571429,31447
H15-2015,H15-2023,16,8,6,0.1953193588,0.1458333333,31371
H41-2015,H41-2023,16,7,4,0.2446475833,0.1964285714,31747
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2391364699,0.2,35615
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1809419245,0.1428571429,31362
