bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,0.125,0.362678,0.145833,0.01554,0.4,0.118519,0.047619,0.0578841,0.170552,0.0740093,,0.092366,0.0573855,0.149573,0.0726496,0.0307692,0.0666667,2,3,2,2,1,1,1,3,3,2,0,4,3,2,2,2,1
100,178,133.417,0.217165,0.213429,0.201623,0.125537,0.135828,0.149703,0.17122,0.115548,0.121103,0.142442,0.203624,0.17664,0.151646,0.153456,0.131021,0.128587,0.173608,149,167,152,209,229,185,174,193,208,207,161,193,199,211,205,192,186
178,316,237.167,0.170627,0.1628,0.145355,0.129955,0.138318,0.162546,0.153112,0.124841,0.10406,0.120235,0.172441,0.149241,0.142507,0.12365,0.103213,0.136466,0.144253,190,192,190,244,242,205,196,230,228,236,182,227,218,227,231,233,221
316,562,421.417,0.149735,0.141267,0.131587,0.111659,0.0974145,0.113364,0.151329,0.107737,0.110322,0.113763,0.149606,0.111153,0.124976,0.102495,0.126304,0.0975189,0.107879,384,409,418,521,535,485,407,537,513,518,405,545,506,522,525,509,483
562,1000,749.667,0.129642,0.120101,0.12993,0.105584,0.0999207,0.12229,0.147221,0.103808,0.107956,0.106975,0.138492,0.107974,0.10714,0.0961711,0.0879335,0.0997523,0.0987798,666,696,712,915,914,779,718,889,871,888,681,892,873,874,874,860,862
1000,1778,1333.42,0.131056,0.12705,0.122128,0.0915791,0.0835228,0.104627,0.131205,0.0905376,0.0981696,0.0924326,0.137814,0.100127,0.0934267,0.0954305,0.100921,0.103915,0.0978404,1174,1174,1210,1598,1597,1479,1264,1637,1540,1588,1252,1584,1587,1536,1591,1526,1535
1778,3162,2371.08,0.111808,0.101559,0.100323,0.0917118,0.0867652,0.101088,0.128384,0.0817409,0.0937496,0.0972622,0.141017,0.0984487,0.0951666,0.087859,0.089273,0.093195,0.097585,2187,2120,2190,2880,2945,2580,2295,2873,2787,2897,2224,2864,2822,2742,2916,2725,2757
