bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,r2_20,r2_21,r2_22,r2_23,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23
1,2,1.41421,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,,0.0128205,,,,,,,0.125,,,,1,,0.00591716,,,0.0277778,,0.0769231,,,,,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
100,178,133.417,0.202924,0.191146,0.255801,0.572917,0.192929,0.196728,0.180435,0.25076,0.214099,0.183847,0.173805,0.152445,0.451477,0.184956,0.183828,0.236012,0.236718,0.282618,0.193924,0.195823,0.205624,0.193714,0.197442,0.195482,155,215,135,64,205,211,185,182,229,214,205,243,79,231,222,174,199,176,224,210,209,191,185,229
178,316,237.167,0.205194,0.161081,0.250167,0.587302,0.180072,0.205692,0.186432,0.246216,0.178687,0.169399,0.17678,0.154324,0.509169,0.174677,0.204918,0.25975,0.195649,0.258196,0.181462,0.189438,0.176787,0.170406,0.169331,0.183209,181,266,175,77,246,237,250,187,287,235,242,274,103,269,245,198,245,195,273,240,264,251,258,259
316,562,421.417,0.134468,0.149264,0.222174,0.592337,0.147728,0.14624,0.132131,0.185732,0.123463,0.152504,0.143999,0.107517,0.420389,0.119178,0.14221,0.182805,0.149067,0.201009,0.133638,0.136548,0.138059,0.148391,0.135377,0.140955,380,546,328,145,521,507,545,413,614,500,513,584,194,554,544,426,490,416,565,532,548,546,504,549
562,1000,749.667,0.118061,0.130053,0.192582,0.511494,0.12722,0.129838,0.117805,0.170263,0.105305,0.120342,0.118183,0.080001,0.389082,0.112735,0.124297,0.165187,0.137993,0.184943,0.109399,0.118628,0.110471,0.121558,0.118409,0.128608,632,883,558,232,810,781,833,679,953,820,825,932,287,893,832,655,797,670,887,863,855,875,827,881
1000,1778,1333.42,0.10244,0.115433,0.187175,0.491064,0.113055,0.120783,0.102746,0.151405,0.104531,0.105402,0.107364,0.0715718,0.374951,0.104998,0.113942,0.154821,0.118791,0.163502,0.0982221,0.110483,0.102762,0.116531,0.109985,0.114853,1178,1656,1063,429,1498,1540,1565,1254,1776,1546,1565,1731,566,1723,1532,1236,1497,1217,1740,1564,1618,1626,1530,1655
1778,3162,2371.08,0.0913906,0.102208,0.181092,0.467784,0.108682,0.111387,0.0930501,0.148774,0.0973468,0.0923157,0.10237,0.0611492,0.369363,0.0884225,0.101768,0.147833,0.109654,0.144544,0.0920652,0.10296,0.0977184,0.10675,0.105239,0.104886,2102,2911,1922,776,2681,2667,2721,2248,3141,2693,2816,3019,956,3032,2725,2190,2613,2197,2967,2764,2892,2799,2741,2915
