bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,0.0769231,,0.020979,,0.00591716,0.00591716,0.138462,,0.0307692,0.0787162,0.282051,,,0.138462,0,0,0,1,0,1,0,1,1,1,0,1,2,1,0,0,1
56,100,74.8331,0.251729,0.219616,0.237029,0.225469,0.231435,0.236436,0.286905,0.223387,0.223802,0.230694,0.263962,0.268834,0.229786,0.230997,0.250906,0.209755,0.220367,137,154,147,137,137,143,124,140,141,154,102,125,131,133,142,147,138
100,178,133.417,0.208888,0.201775,0.199715,0.198582,0.203096,0.193229,0.232654,0.218834,0.205334,0.215526,0.247611,0.222294,0.206537,0.224848,0.172965,0.212318,0.220699,160,165,171,169,158,161,122,152,158,151,119,146,166,161,169,149,171
178,316,237.167,0.16138,0.15317,0.140882,0.129736,0.167299,0.171891,0.179449,0.16611,0.150126,0.136848,0.17608,0.179093,0.165727,0.16705,0.141147,0.155467,0.139476,351,354,347,352,306,340,272,328,335,350,294,316,333,328,335,323,360
316,562,421.417,0.117187,0.118115,0.116568,0.133243,0.130921,0.134564,0.161122,0.118868,0.134171,0.11745,0.14748,0.131387,0.11321,0.123129,0.11549,0.136386,0.129414,521,566,581,556,472,526,442,515,553,562,419,492,540,501,542,534,539
562,1000,749.667,0.106801,0.106819,0.112701,0.108379,0.106343,0.111816,0.145857,0.103657,0.110057,0.0945953,0.128145,0.113781,0.115381,0.105402,0.104319,0.099881,0.0970819,941,999,996,974,915,938,752,922,954,949,781,877,996,912,959,949,960
1000,1778,1333.42,0.0893943,0.100598,0.0919212,0.0948821,0.103733,0.0969199,0.133225,0.103351,0.0914863,0.0937238,0.117241,0.106371,0.101338,0.105298,0.095549,0.0984649,0.100035,1724,1801,1914,1803,1655,1731,1451,1677,1733,1723,1365,1586,1763,1668,1714,1745,1758
1778,3162,2371.08,0.0864486,0.0917631,0.091212,0.0865029,0.0949154,0.0933631,0.126806,0.0893007,0.095393,0.0920672,0.122651,0.103026,0.0919374,0.0885702,0.0892731,0.0899119,0.0921425,3071,3184,3276,3166,2981,3107,2470,3044,3108,3093,2463,2827,3144,2950,3153,3044,3207
