bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,r2_20,r2_21,r2_22,r2_23,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23
1778,3162,2371.08,0.0628458,0.0898251,0.156839,0.387518,0.101387,0.0884013,0.0916838,0.122539,0.082758,0.0876035,0.0867871,0.0465095,0.348744,0.0877571,0.0926423,0.126194,0.0917622,0.125578,0.0881358,0.0944429,0.0918916,0.0911695,0.103145,0.103315,1932,3131,2055,851,2937,2989,2938,2470,3071,3052,3223,2984,1031,3114,2949,2361,2880,2451,3162,3213,3068,3085,3003,2836
3162,5623,4216.62,0.0589811,0.0852251,0.147568,0.377268,0.0888593,0.0901231,0.0915939,0.117829,0.082363,0.0821771,0.0826369,0.0408776,0.34803,0.0846363,0.0895618,0.125465,0.0878971,0.116653,0.0806772,0.0896716,0.0890007,0.0853251,0.0933507,0.0960514,3409,5643,3698,1568,5192,5205,5187,4446,5288,5396,5652,5222,1754,5500,5259,4102,5035,4218,5617,5705,5427,5552,5287,4941
5623,10000,7498.67,0.055105,0.0839735,0.150137,0.380916,0.084504,0.0877545,0.0894885,0.114553,0.078249,0.0811121,0.0815,0.0403893,0.332344,0.0820571,0.0867346,0.120112,0.0835625,0.114327,0.0803605,0.0858748,0.0805274,0.0800315,0.0899908,0.0938095,5857,9801,6500,2606,9074,9073,8922,7654,9419,9522,10055,9103,3144,9804,9100,7093,8957,7456,9738,9963,9433,9665,9286,8688
10000,17783,13335.3,0.062655,0.0652441,0.143764,0.333333,0.0869184,0.109195,0.12081,0.132825,0.0594502,0.105104,0.0980892,0.0482383,0.185185,0.055563,0.130207,0.149112,0.122497,0.13791,0.0814874,0.103342,0.0504826,0.0562284,0.057282,0.0984952,12,44,20,1,36,34,33,26,38,44,49,38,3,45,42,23,33,25,46,42,42,45,44,29
17783,31623,23714,0.0375248,0.069147,0.108423,0.435897,0.0861506,0.128538,0.0708014,0.0890129,0.0597662,0.0750567,0.0789779,0.0447871,0.280423,0.0724326,0.1031,0.142324,0.0617593,0.135974,0.0673003,0.096475,0.0738888,0.08265,0.105644,0.0855163,38,40,36,13,39,43,40,40,46,41,36,40,21,44,32,36,40,34,41,51,39,46,36,44
31623,56234,42169.7,0.0495299,0.0629101,0.112677,0.449275,0.0835202,0.0731166,0.0764769,0.115292,0.0694676,0.0742988,0.0764117,0.0350203,0.294872,0.0581906,0.100347,0.0980128,0.0587531,0.0931958,0.0604464,0.0958801,0.0774033,0.0937667,0.100075,0.0982712,48,87,53,23,91,81,90,69,88,91,96,84,26,84,87,64,85,72,88,82,90,81,81,78
56234,100000,74989.3,0.0451323,0.0674414,0.160458,0.353276,0.0796654,0.0608365,0.0691726,0.111632,0.069053,0.0888454,0.0711657,0.0358566,0.376417,0.0748699,0.0910414,0.127781,0.0699053,0.0957559,0.0912147,0.0834891,0.0873586,0.0880518,0.0921271,0.104982,89,147,102,39,135,136,136,116,138,137,140,139,49,140,143,105,130,108,143,150,139,143,146,132
100000,177828,133352,0.0486949,0.0799985,0.151144,0.380719,0.0730562,0.0789127,0.0787913,0.102163,0.0676907,0.066614,0.0726924,0.0328183,0.352778,0.0723717,0.0938725,0.133511,0.071153,0.0989788,0.0820482,0.084927,0.0847461,0.0691506,0.0803222,0.0854524,146,249,163,68,228,225,218,189,238,234,254,223,80,243,228,182,222,195,241,241,237,240,223,216
177828,316228,237137,0.0536381,0.0755864,0.155758,0.308176,0.0704836,0.0727317,0.0807956,0.121178,0.0874681,0.0705348,0.0694022,0.0295128,0.392361,0.0832601,0.0733007,0.102012,0.0963598,0.11205,0.0852835,0.066047,0.0924034,0.0724738,0.0839207,0.0789664,239,388,249,106,357,357,360,309,384,379,386,366,128,375,360,285,356,299,389,393,379,389,366,345
316228,562341,421697,0.0424845,0.0689379,0.149502,0.3066,0.0709831,0.0783454,0.0842308,0.114501,0.0772969,0.0671414,0.085301,0.0319513,0.321954,0.070825,0.0824306,0.109647,0.0854169,0.108651,0.0741606,0.0693711,0.0873396,0.0718456,0.0948499,0.0803743,302,518,331,133,482,476,464,402,502,491,514,476,166,503,487,375,460,387,505,511,496,505,474,454
562341,1000000,749894,0.0428123,0.0830389,0.172911,0.3294,0.071773,0.0808481,0.0873313,0.119502,0.0770828,0.0709003,0.0704573,0.0343441,0.309333,0.0655194,0.0914745,0.107904,0.0768806,0.121663,0.0627954,0.0716335,0.0825962,0.0702707,0.0768381,0.0769842,210,359,228,113,347,360,316,284,342,359,359,347,125,342,335,259,329,261,381,363,353,326,346,301
