bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,r2_20,r2_21,r2_22,r2_23,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19,n_20,n_21,n_22,n_23
3162,5623,4216.62,0.106542,0.126467,0.168611,0.367218,0.107675,0.112334,0.0972065,0.141873,0.10195,0.0824937,0.0964108,0.06279,0.35536,0.0925792,0.0933912,0.134408,0.0988108,0.132781,0.109671,0.0991277,0.110016,0.0950071,0.104083,0.108787,3043,4155,3157,1692,4565,4245,4810,3789,4512,5172,4597,4901,1589,4939,4941,3925,4761,3818,4337,4423,4266,4770,4535,4421
5623,10000,7498.67,0.0940538,0.122566,0.15999,0.369505,0.102384,0.108292,0.0899229,0.140869,0.0965661,0.0767777,0.0957653,0.0571086,0.353799,0.0879757,0.0975261,0.13219,0.0941691,0.129811,0.103797,0.0955745,0.10206,0.0938971,0.0983684,0.100616,5522,7359,5597,2952,8082,7521,8517,6601,8085,9296,8247,8762,2910,8659,8778,6882,8500,6836,7743,7968,7587,8414,8017,7888
10000,17783,13335.3,0.0751997,0.231255,0.0848677,,0.0918215,0.116005,0.0593121,0.0746065,0.10133,0.0786278,0.08498,0.0423599,,0.0475265,0.0606268,0.193068,0.0822364,0.166299,0.110604,0.0904789,0.0290519,0.0695945,0.0579875,0.0878175,3,18,6,0,28,20,30,16,24,39,30,32,0,27,29,14,29,15,23,28,18,30,26,28
17783,31623,23714,0.103884,0.0907389,0.211359,0.17284,0.113999,0.104753,0.120791,0.164109,0.0876212,0.0549875,0.134316,0.0617552,0.428571,0.115907,0.0476147,0.138306,0.125714,0.132708,0.0867733,0.0820455,0.106086,0.0942133,0.0994334,0.086192,42,37,39,18,32,39,38,35,39,38,29,39,21,41,38,40,35,37,37,34,39,35,37,37
31623,56234,42169.7,0.0639232,0.0925155,0.174708,0.300926,0.082942,0.0911855,0.0731888,0.122733,0.0839747,0.0566005,0.0939111,0.0545709,0.315789,0.0493391,0.0893274,0.142229,0.0902315,0.0981655,0.101214,0.0953337,0.0832845,0.0662148,0.0940339,0.0853569,46,69,45,24,85,70,86,59,78,89,96,88,19,84,85,58,88,61,74,75,71,90,82,75
56234,100000,74989.3,0.0736523,0.12249,0.145128,0.388889,0.0987952,0.103579,0.108297,0.167315,0.0867176,0.0675462,0.105898,0.0331854,0.32,0.101838,0.069808,0.11368,0.0870466,0.117874,0.0911261,0.0777994,0.103164,0.0809278,0.0859227,0.0968809,86,117,84,48,122,115,125,105,119,131,114,129,50,125,125,112,125,108,115,122,115,120,112,119
100000,177828,133352,0.0597796,0.106871,0.129164,0.324201,0.0780567,0.106852,0.0787318,0.127712,0.0952124,0.0707781,0.0952733,0.0401958,0.397059,0.0732194,0.072892,0.129873,0.0666331,0.126071,0.0845754,0.0870069,0.0836505,0.0878063,0.0687599,0.072405,141,179,145,73,197,187,212,166,200,236,211,225,68,219,219,164,214,172,184,199,185,225,203,198
177828,316228,237137,0.06243,0.0946583,0.137812,0.336232,0.0686686,0.0885961,0.0750808,0.131639,0.0750301,0.0648671,0.0811061,0.030135,0.368421,0.0791834,0.0811038,0.107289,0.0795127,0.105619,0.0717441,0.0823036,0.0807344,0.0808337,0.0802872,0.0871313,211,279,217,115,309,289,338,252,311,362,324,347,114,329,338,273,333,272,296,304,288,328,313,303
316228,562341,421697,0.0556675,0.109232,0.136603,0.289352,0.0822558,0.0793568,0.0692822,0.106553,0.0764556,0.0696275,0.0740955,0.041088,0.364324,0.0716308,0.0774543,0.114851,0.0797107,0.103407,0.0835941,0.0755866,0.0794777,0.0792557,0.0698409,0.0683973,289,376,289,144,417,388,445,344,413,479,430,461,147,449,448,359,449,358,394,417,387,446,419,419
562341,1000000,749894,0.0527028,0.118742,0.132264,0.324948,0.0798361,0.0773083,0.081702,0.105537,0.0695943,0.057295,0.072461,0.0345919,0.328236,0.0471766,0.065135,0.104131,0.0650658,0.134358,0.0917402,0.079554,0.073074,0.0888002,0.0778132,0.0856938,217,251,210,106,298,271,324,249,302,339,308,332,109,322,314,255,325,253,310,307,276,324,296,309
