bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,0.262841,0.219148,0.278301,0.242832,0.207431,0.27405,0.294263,0.227711,0.225453,0.214461,0.292672,0.242249,0.245173,0.230266,0.237005,0.211278,0.261078,45,57,40,51,50,46,46,45,51,48,39,51,51,52,48,59,54
100,178,133.417,0.228399,0.212244,0.22272,0.206573,0.209607,0.20609,0.249299,0.233726,0.204629,0.206264,0.245055,0.217129,0.211274,0.20573,0.220562,0.205321,0.214166,210,209,228,237,234,236,194,228,235,226,184,231,241,228,244,236,249
178,316,237.167,0.155014,0.150211,0.157793,0.157177,0.151371,0.177097,0.189834,0.166736,0.150767,0.174162,0.207879,0.186657,0.170323,0.165591,0.155191,0.167209,0.156517,252,271,274,273,289,279,213,261,266,276,214,258,280,297,264,269,296
316,562,421.417,0.136155,0.111844,0.135661,0.113102,0.126846,0.134172,0.157201,0.124273,0.125902,0.123156,0.159952,0.123904,0.132621,0.119343,0.131067,0.120968,0.112725,527,553,505,559,559,545,458,549,534,544,449,501,524,564,537,512,599
562,1000,749.667,0.115215,0.12064,0.117468,0.0944389,0.111391,0.119968,0.145817,0.101812,0.118273,0.116346,0.16055,0.127868,0.114995,0.120338,0.111448,0.118175,0.112048,885,911,883,969,987,921,764,953,961,876,725,883,902,972,929,919,947
1000,1778,1333.42,0.105401,0.10813,0.111496,0.0923475,0.100698,0.114585,0.137037,0.100388,0.100072,0.10289,0.14611,0.107536,0.0980219,0.101383,0.105616,0.106999,0.112524,1630,1615,1604,1706,1773,1635,1354,1727,1674,1665,1344,1547,1636,1756,1713,1642,1756
1778,3162,2371.08,0.0909971,0.0946525,0.0929779,0.0857381,0.0910892,0.102876,0.127103,0.0893712,0.0917781,0.0983644,0.12134,0.0933133,0.095494,0.089752,0.0957889,0.0878722,0.0870554,2869,2895,2835,3121,3145,2953,2433,2932,3026,2903,2420,2812,2953,3119,2999,2967,3097
