bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,r2_17,r2_18,r2_19,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16,n_17,n_18,n_19
1,2,1.41421,0.390776,0.381176,0.373654,0.349166,0.364637,0.4222,0.406672,0.354075,0.353941,0.365887,0.36097,0.440443,0.359554,0.34556,0.405317,0.354957,0.357541,0.35293,0.375744,0.358398,1473,1524,1550,1703,1548,1334,1347,1627,1665,1582,1599,1157,1624,1649,1361,1672,1620,1616,1563,1621
2,3,2.44949,0.356444,0.366165,0.3391,0.31844,0.325049,0.384704,0.389401,0.334048,0.319658,0.334431,0.335306,0.419933,0.324854,0.329358,0.374523,0.315969,0.32936,0.326788,0.336095,0.319151,1413,1463,1489,1671,1550,1293,1329,1603,1618,1548,1579,1126,1583,1584,1299,1654,1613,1584,1609,1664
3,6,4.24264,0.361614,0.35046,0.347188,0.314645,0.331777,0.379877,0.377056,0.317332,0.313684,0.332607,0.326802,0.404093,0.322452,0.321495,0.381034,0.322134,0.324701,0.324297,0.327395,0.3174,4144,4223,4238,4900,4540,3811,3911,4759,4938,4621,4665,3287,4788,4743,3998,4779,4731,4707,4657,4799
6,10,7.74597,0.320896,0.320953,0.316309,0.287775,0.30369,0.348228,0.343975,0.292555,0.290178,0.30615,0.303398,0.369434,0.296472,0.297678,0.349641,0.291574,0.297451,0.293817,0.303202,0.28973,5550,5564,5761,6502,6114,5085,5181,6348,6457,6090,6237,4325,6222,6257,5124,6335,6226,6218,6098,6312
10,18,13.4164,0.300045,0.296178,0.293351,0.264023,0.271659,0.326407,0.320644,0.265011,0.262349,0.277535,0.274573,0.332155,0.268583,0.268054,0.317839,0.265567,0.269399,0.267934,0.275275,0.26476,10870,11139,11379,12591,12075,9958,10240,12418,12682,11792,12078,8509,12478,12364,10102,12562,12265,12273,12146,12574
18,32,24,0.254149,0.253202,0.2507,0.223335,0.236072,0.281656,0.27691,0.225646,0.22561,0.234218,0.237565,0.273403,0.228486,0.225832,0.274354,0.221905,0.22645,0.227935,0.232944,0.225438,18631,18995,19368,21849,20357,16957,17280,21122,21644,20414,20727,14391,21219,21077,17498,21623,21206,20975,20605,21537
32,56,42.332,0.212861,0.210324,0.208879,0.183549,0.197138,0.233539,0.229281,0.184705,0.185846,0.191394,0.195609,0.218569,0.185508,0.185398,0.228896,0.181818,0.187915,0.18754,0.191837,0.186077,31606,32151,32607,36977,34630,28482,29046,35948,36567,34106,34967,24140,36008,35659,29206,36509,35541,35256,34800,36317
56,100,74.8331,0.177963,0.174924,0.173553,0.148861,0.161298,0.198383,0.192112,0.151638,0.151507,0.160553,0.161886,0.173439,0.155287,0.154827,0.19404,0.148357,0.154601,0.153766,0.157055,0.150777,56232,57398,58558,66069,62691,50847,52478,64833,65741,61765,62620,42985,64825,64244,52253,65799,64083,63742,62642,65913
100,178,133.417,0.14611,0.143986,0.140802,0.121943,0.131031,0.1651,0.161963,0.123744,0.123843,0.131011,0.133294,0.132156,0.126952,0.125279,0.16134,0.122942,0.126595,0.128036,0.129798,0.123963,98904,100929,102874,115459,109907,89097,91230,113375,115050,107679,109318,75411,113740,112488,91133,115123,112184,111979,109838,115233
178,316,237.167,0.126192,0.123927,0.120948,0.103666,0.113053,0.14562,0.139492,0.105898,0.105158,0.113127,0.113607,0.103897,0.107825,0.106233,0.141617,0.104182,0.109604,0.108265,0.112119,0.105179,173875,176454,180713,204479,192871,156367,160473,198319,202682,189601,193164,132450,200054,198262,160008,202094,197681,196765,193278,201916
316,562,421.417,0.112627,0.109543,0.108392,0.0921214,0.102266,0.132238,0.127092,0.0945008,0.0931197,0.0998234,0.101891,0.0859864,0.096423,0.0945562,0.129596,0.0925905,0.0976019,0.0964802,0.100312,0.0933159,307124,312084,318504,361618,340102,276612,283579,353009,357068,334692,341952,234161,353404,349964,283107,357308,349591,348247,341540,357714
562,1000,749.667,0.102292,0.0996734,0.0976858,0.0862609,0.0952159,0.125493,0.121318,0.0877669,0.08771,0.0936906,0.0949718,0.074984,0.0897767,0.0881258,0.122191,0.0863556,0.0907434,0.0894016,0.0935078,0.087065,545978,556258,566037,644639,606200,492089,504977,627458,638164,596404,607677,415365,630002,623605,504230,636305,623245,620089,608135,636268
1000,1778,1333.42,0.0949385,0.0930117,0.0921555,0.0821222,0.0919884,0.1212,0.117711,0.0840461,0.0834025,0.0900592,0.0903736,0.0688138,0.0853422,0.0842631,0.118565,0.0822695,0.0868465,0.0853478,0.0896421,0.0833666,972478,986834,1006888,1143037,1078799,873711,895417,1110657,1132786,1061256,1082607,738855,1118670,1107912,896283,1132326,1106951,1102932,1081988,1130808
1778,3162,2371.08,0.0892298,0.0873716,0.0876748,0.0805275,0.0900181,0.119348,0.116344,0.0822564,0.0819629,0.087799,0.0884904,0.0655088,0.0836103,0.082357,0.116337,0.0805247,0.0843595,0.082871,0.087318,0.0814291,1724099,1750234,1786222,2026254,1911347,1553641,1591128,1972819,2006051,1877891,1921570,1312203,1982313,1964061,1588144,2005624,1962882,1952865,1915798,2005227
3162,5623,4216.62,0.085106,0.0830717,0.0839592,0.079085,0.0884037,0.117231,0.114855,0.0810637,0.0808269,0.0864718,0.0865045,0.0625229,0.0817677,0.0812003,0.114866,0.0798594,0.0831231,0.0818503,0.0860838,0.0802918,3052540,3098011,3164817,3597734,3390965,2753733,2822663,3504620,3560713,3332426,3409357,2329308,3522169,3487791,2820033,3566416,3482856,3469235,3400646,3562329
5623,10000,7498.67,0.082501,0.0804616,0.081748,0.0782859,0.0872957,0.115673,0.113887,0.0797601,0.0797142,0.0850769,0.0846691,0.0600656,0.0805537,0.0805525,0.114177,0.0790864,0.0820726,0.0806071,0.0852047,0.0793746,5409496,5493604,5609094,6382854,6005308,4878567,5003073,6211024,6309402,5904325,6037383,4127344,6243883,6182810,4997980,6315403,6180055,6150013,6028041,6314080
10000,17783,13335.3,0.0799914,0.0787595,0.0805646,0.0765135,0.0847831,0.112244,0.112764,0.0792578,0.079988,0.0823275,0.0837401,0.0568381,0.0774321,0.0781534,0.114922,0.077103,0.0775223,0.079145,0.0817732,0.0775834,16523,16778,17161,19547,18448,14890,15319,19054,19316,18029,18524,12639,19092,18922,15297,19331,18901,18822,18443,19363
17783,31623,23714,0.0791743,0.0774681,0.0782586,0.0772379,0.0835654,0.112386,0.110716,0.0782019,0.0778955,0.0820441,0.0809836,0.055316,0.0782588,0.0810069,0.112176,0.0783927,0.0807104,0.0785741,0.0810027,0.0779123,26933,27324,27860,31714,29791,24234,24881,30859,31360,29328,30024,20535,31045,30712,24859,31394,30734,30573,29890,31371
31623,56234,42169.7,0.0781669,0.0774276,0.077022,0.07638,0.0817624,0.110673,0.110421,0.0777183,0.0770513,0.0804612,0.0801985,0.052689,0.0786613,0.0787534,0.112471,0.0764277,0.0810568,0.077893,0.0806691,0.0776832,46844,47536,48476,55280,51971,42312,43361,53808,54703,51142,52343,35747,54084,53534,43286,54747,53513,53320,52106,54745
56234,100000,74989.3,0.077266,0.0766869,0.077601,0.0765616,0.0797274,0.111538,0.110958,0.0773886,0.0777642,0.0796857,0.0788974,0.0501132,0.0773705,0.0780755,0.110272,0.0769368,0.0801845,0.0772186,0.0805552,0.0764396,80435,81413,83054,94672,89070,72510,74147,92310,93894,87569,89682,61393,92710,91794,74139,93932,91784,91420,89325,93725
100000,177828,133352,0.0771268,0.0763214,0.0771569,0.0775965,0.0799807,0.111009,0.111636,0.0768779,0.0767619,0.0782047,0.0773893,0.0494833,0.0772903,0.0776097,0.110944,0.0767192,0.0794919,0.0771811,0.0798364,0.0772748,133752,135656,138170,156865,147601,120529,123270,153126,155340,145663,148702,101968,153776,152538,123398,155888,152246,151674,148194,155437
177828,316228,237137,0.0770536,0.0765743,0.0764069,0.0771139,0.078707,0.111077,0.111342,0.0772311,0.0766364,0.0774056,0.0775964,0.0480624,0.0777554,0.0769359,0.111513,0.0771071,0.0786619,0.0769821,0.0792157,0.0771626,207220,209203,213920,243078,229634,186322,190682,237366,239608,224851,230421,157674,237740,236883,190459,240074,235413,234863,229637,240855
316228,562341,421697,0.0766866,0.0766187,0.0770365,0.0765764,0.0794095,0.110875,0.111757,0.0770428,0.0768636,0.0766379,0.0782313,0.049154,0.0768506,0.0764619,0.110863,0.0769664,0.0770487,0.0773803,0.077235,0.0767777,274180,277461,283904,322864,304975,246456,253064,314929,318464,298344,305523,208916,316596,313586,253229,318607,312661,310959,304461,319727
562341,1000000,749894,0.0774498,0.0769878,0.0764728,0.0772753,0.0791225,0.111064,0.110472,0.0768148,0.0767461,0.0778511,0.0778568,0.0500274,0.0769425,0.0770563,0.110854,0.0769763,0.0792202,0.0768956,0.0766701,0.0772866,192327,198154,202041,229083,214959,175064,180133,221803,228460,213986,217058,148287,224102,219313,180191,228622,222035,219727,217266,225908
