site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2303859047,0.1964285714,33533
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1902374549,0.1428571429,32358
Alsum18-2019,Alsum18-2023,8,7,6,0.197453741,0.1547619048,31421
Alsum59-2019,Alsum59-2023,8,6,7,0.1946305638,0.1547619048,31896
Arlington-2019,Arlington-2023,8,7,7,0.1709322846,0.1428571429,32731
XMASBig-2019,XMASBig-2023,8,5,5,0.2292870866,0.2,37916
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1622098708,0.1428571429,32798
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1840860134,0.1428571429,32624
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1800405775,0.1428571429,32689
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.191694734,0.1428571429,32527
Arlington-2015,Arlington-2023,16,4,7,0.2248038677,0.1964285714,33457
C5-2015,C5-2023,16,7,7,0.1797572527,0.1428571429,32813
C44-L15-2015,C44-L15-2023,16,7,7,0.1762531898,0.1428571429,32625
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1855952436,0.1428571429,32434
H10-2015,H10-2023,16,7,7,0.1755750355,0.1428571429,32743
H15-2015,H15-2023,16,8,6,0.1797293288,0.1458333333,32650
H41-2015,H41-2023,16,7,4,0.256281494,0.1964285714,33135
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2510433764,0.2,37886
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1780955673,0.1428571429,32573
