site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2392717233,0.1964285714,32839
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1818921636,0.1428571429,33061
Alsum18-2019,Alsum18-2023,8,7,6,0.1881879109,0.1547619048,32133
Alsum59-2019,Alsum59-2023,8,6,7,0.1887154928,0.1547619048,31964
Arlington-2019,Arlington-2023,8,7,7,0.1712190025,0.1428571429,32865
XMASBig-2019,XMASBig-2023,8,5,5,0.2199316837,0.2,39109
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1805356076,0.1428571429,33076
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1614907513,0.1428571429,33102
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1608038592,0.1428571429,33030
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.2033160916,0.1428571429,32631
Arlington-2015,Arlington-2023,16,4,7,0.2651756956,0.1964285714,33611
C5-2015,C5-2023,16,7,7,0.1958509656,0.1428571429,33074
C44-L15-2015,C44-L15-2023,16,7,7,0.1879061638,0.1428571429,32854
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1952988033,0.1428571429,33124
H10-2015,H10-2023,16,7,7,0.1827886238,0.1428571429,33138
H15-2015,H15-2023,16,8,6,0.1796854009,0.1458333333,33061
H41-2015,H41-2023,16,7,4,0.2374513,0.1964285714,32900
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2347817633,0.2,39027
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1981796899,0.1428571429,33311
