site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2443580841,0.1964285714,31235
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1863356796,0.1428571429,30732
Alsum18-2019,Alsum18-2023,8,7,6,0.2029701327,0.1547619048,30491
Alsum59-2019,Alsum59-2023,8,6,7,0.2057472212,0.1547619048,30500
Arlington-2019,Arlington-2023,8,7,7,0.1812729629,0.1428571429,30772
XMASBig-2019,XMASBig-2023,8,5,5,0.2286110223,0.2,35056
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1792383003,0.1428571429,30958
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.200894501,0.1428571429,30715
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1723310265,0.1428571429,30948
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1735016604,0.1428571429,30776
Arlington-2015,Arlington-2023,16,4,7,0.2333469071,0.1964285714,31101
C5-2015,C5-2023,16,7,7,0.187094615,0.1428571429,30835
C44-L15-2015,C44-L15-2023,16,7,7,0.1652729562,0.1428571429,31144
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1883148243,0.1428571429,30960
H10-2015,H10-2023,16,7,7,0.1799369747,0.1428571429,30972
H15-2015,H15-2023,16,8,6,0.1931620696,0.1458333333,30634
H41-2015,H41-2023,16,7,4,0.245843577,0.1964285714,31120
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2292644203,0.2,35261
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1864788751,0.1428571429,30866
