site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2362059722,0.1964285714,34687
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1693209816,0.1428571429,33215
Alsum18-2019,Alsum18-2023,8,7,6,0.203748463,0.1547619048,32403
Alsum59-2019,Alsum59-2023,8,6,7,0.1827866141,0.1547619048,32380
Arlington-2019,Arlington-2023,8,7,7,0.1726407536,0.1428571429,33244
XMASBig-2019,XMASBig-2023,8,5,5,0.2349923019,0.2,40205
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1711011143,0.1428571429,33175
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1649860539,0.1428571429,33206
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1787774081,0.1428571429,33187
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1749107078,0.1428571429,33333
Arlington-2015,Arlington-2023,16,4,7,0.2353168748,0.1964285714,34596
C5-2015,C5-2023,16,7,7,0.183997691,0.1428571429,33188
C44-L15-2015,C44-L15-2023,16,7,7,0.1931199295,0.1428571429,33443
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1736644853,0.1428571429,33088
H10-2015,H10-2023,16,7,7,0.184668149,0.1428571429,33314
H15-2015,H15-2023,16,8,6,0.1766182646,0.1458333333,33376
H41-2015,H41-2023,16,7,4,0.2440737445,0.1964285714,34894
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2274295919,0.2,40821
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1820373276,0.1428571429,33209
