site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2328247801,0.1964285714,34378
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1841522272,0.1428571429,33426
Alsum18-2019,Alsum18-2023,8,7,6,0.1880264221,0.1547619048,32311
Alsum59-2019,Alsum59-2023,8,6,7,0.1839860999,0.1547619048,32373
Arlington-2019,Arlington-2023,8,7,7,0.1690212744,0.1428571429,33202
XMASBig-2019,XMASBig-2023,8,5,5,0.2272271237,0.2,40773
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1830630855,0.1428571429,33355
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1577732355,0.1428571429,33553
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1685966617,0.1428571429,33372
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1731444655,0.1428571429,33532
Arlington-2015,Arlington-2023,16,4,7,0.236937794,0.1964285714,34716
C5-2015,C5-2023,16,7,7,0.1662416973,0.1428571429,33249
C44-L15-2015,C44-L15-2023,16,7,7,0.171565534,0.1428571429,33363
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1832880153,0.1428571429,33199
H10-2015,H10-2023,16,7,7,0.1763516369,0.1428571429,33223
H15-2015,H15-2023,16,8,6,0.1811724806,0.1458333333,33489
H41-2015,H41-2023,16,7,4,0.2390260232,0.1964285714,34600
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2241288705,0.2,40927
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1799986492,0.1428571429,33585
