site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2314801788,0.1964285714,34822
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1798941478,0.1428571429,33754
Alsum18-2019,Alsum18-2023,8,7,6,0.1977344182,0.1547619048,32882
Alsum59-2019,Alsum59-2023,8,6,7,0.1885194627,0.1547619048,32746
Arlington-2019,Arlington-2023,8,7,7,0.1665814481,0.1428571429,33511
XMASBig-2019,XMASBig-2023,8,5,5,0.2214691703,0.2,41016
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1687602409,0.1428571429,33692
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1683164164,0.1428571429,33613
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1805442426,0.1428571429,33682
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1696069339,0.1428571429,33685
Arlington-2015,Arlington-2023,16,4,7,0.2285807571,0.1964285714,34649
C5-2015,C5-2023,16,7,7,0.17775511,0.1428571429,33387
C44-L15-2015,C44-L15-2023,16,7,7,0.1790119546,0.1428571429,33427
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1772512252,0.1428571429,33554
H10-2015,H10-2023,16,7,7,0.1789654101,0.1428571429,33713
H15-2015,H15-2023,16,8,6,0.1756736932,0.1458333333,33729
H41-2015,H41-2023,16,7,4,0.2422819763,0.1964285714,34986
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2325697834,0.2,41180
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1801341939,0.1428571429,33749
