0.000298947027412838,0.0001886498488323964,0.00014275468432613158,-7.384525509772014e-06,-2.424412141820016e-05,-3.33615407848134e-05,-3.122327932579665e-05,-2.680363365340847e-05,-3.1471191547613976e-05,-3.067076881388624e-05,-2.541772150456013e-05,-2.4297118573031874e-05,-4.0683060396059746e-05,-2.5755864300106802e-05,-2.6487986594165047e-05,-1.711603150515713e-05,-3.7624756604480156e-05,-2.550818288333628e-05,-3.789118942458609e-05,-3.6089539473071344e-05,-3.6893379868649456e-05,-3.236185269750808e-05,-3.372763877903881e-05,-4.5338176914179655e-05
0.0001886498488323964,0.0003158589878765761,0.00013332347252274562,-1.1284951317685889e-05,-3.213586095860219e-05,-2.3163391030944385e-05,-3.618646181155609e-05,-3.395093458466281e-05,-2.777771034082785e-05,-3.352043895290672e-05,-3.34721655168118e-05,-2.8638200138934392e-05,-3.761510216598699e-05,-3.103441282819875e-05,-2.5993069366353993e-05,-1.8912780969172362e-05,-3.767069236998621e-05,-2.4993724937273506e-05,-3.622331202035197e-05,-2.72912982398536e-05,-3.6059521148087577e-05,-2.6024647046594107e-05,-3.3832554051474666e-05,-4.205107943549565e-05
0.00014275468432613158,0.00013332347252274562,0.000250882293274965,-5.928826463114129e-06,-2.5967073793210143e-05,-2.99695585538962e-05,-2.5762051615994565e-05,-2.411879631205771e-05,-2.6028261137908886e-05,-2.6493397361139776e-05,-2.577865504133401e-05,-1.9651049374314965e-05,-3.607719419376816e-05,-2.5082075008928588e-05,-2.0478761984688894e-05,-7.845876807594387e-06,-2.5533581296999903e-05,-2.0160048525969057e-05,-2.9426571980184078e-05,-2.9111075198557423e-05,-2.5722059507995433e-05,-2.493928260011845e-05,-3.148557974794339e-05,-4.140067361813937e-05
-7.384525509772014e-06,-1.1284951317685889e-05,-5.928826463114129e-06,0.0004197513084878059,-1.0915356740512484e-05,-9.513616562270879e-06,-1.8564231802450184e-05,-2.0918029984946253e-05,-4.892341609215177e-06,-1.5004306111944872e-05,-2.5260047614133616e-05,-1.5171514043697087e-05,-1.7409884229071655e-05,-1.808538081657494e-05,-1.532818648707963e-05,-9.888179003929017e-06,-2.4386716841392333e-05,-2.1139522022493363e-05,-2.1376729372837626e-05,-2.7120984838857507e-05,-3.7153554811004215e-05,-2.581908686472931e-05,-2.622242150692499e-05,-3.098291393319845e-05
-2.424412141820016e-05,-3.213586095860219e-05,-2.5967073793210143e-05,-1.0915356740512484e-05,0.00023669919688153946,1.4497377028847165e-05,-1.1400800662211354e-05,-1.2030224485058638e-05,-1.292841439521958e-06,-3.499880932434237e-06,-9.493806273326978e-06,8.592234888054784e-06,-1.8143160692692045e-06,-1.0904661269356885e-05,3.82283967297314e-06,8.943298126518663e-06,-1.7739757398285583e-05,-1.0656930545940812e-05,-1.7743255485517442e-05,-2.228235303880421e-05,-1.4202682028675575e-05,-1.5840629793060494e-05,-1.2649771800967726e-05,-1.774062246496917e-05
-3.33615407848134e-05,-2.3163391030944385e-05,-2.99695585538962e-05,-9.513616562270879e-06,1.4497377028847165e-05,0.0003164022255582198,-2.1774413232155724e-05,-1.3471340538733856e-05,-6.551239298387746e-06,-1.012012295749453e-05,-1.6923888026816148e-05,-1.0538808092103667e-05,1.916042915190738e-05,-1.4504503871215365e-05,-1.7335099235527558e-06,-3.5142629113202286e-06,-9.295235462601231e-06,-2.715867772841423e-05,-3.0192665291822765e-06,-2.754828034702288e-05,-2.6052320227403826e-05,-1.6483684511744278e-05,-2.270092925089616e-05,-2.2661441898030316e-05
-3.122327932579665e-05,-3.618646181155609e-05,-2.5762051615994565e-05,-1.8564231802450184e-05,-1.1400800662211354e-05,-2.1774413232155724e-05,0.0001850787561009657,-3.0349850252430694e-07,-4.709354021558339e-06,-3.3282845611019266e-06,1.4792704985295395e-06,-5.097648806753327e-06,-9.775031025299416e-06,2.5858282930737447e-06,-1.4575785801223794e-05,-1.558062244224988e-05,4.863051137576813e-06,7.1564993778129405e-06,5.042425392480207e-06,1.4839803946091591e-06,-7.253835102775275e-07,-5.907037247361543e-06,5.931449066297254e-07,-3.369071733151976e-06
-2.680363365340847e-05,-3.395093458466281e-05,-2.411879631205771e-05,-2.0918029984946253e-05,-1.2030224485058638e-05,-1.3471340538733856e-05,-3.0349850252430694e-07,0.00019113690127023713,-3.3052852940840093e-06,5.118755701015431e-06,2.2237935072913955e-06,-6.951517681237613e-07,-1.5447950326448766e-05,-6.314500243947469e-06,-9.993751251256184e-06,-1.4693560903239157e-05,1.7681826429519282e-06,-4.488478629008887e-06,-4.972967520560994e-06,3.988124738708799e-08,-5.253866231141405e-06,5.414666900874119e-06,2.4568592792564277e-06,-1.1397070319797119e-05
-3.1471191547613976e-05,-2.777771034082785e-05,-2.6028261137908886e-05,-4.892341609215177e-06,-1.292841439521958e-06,-6.551239298387746e-06,-4.709354021558339e-06,-3.3052852940840093e-06,0.00020363893174066405,3.393266759086366e-06,-6.751149817741315e-06,2.050942031666359e-06,-2.739703399947989e-06,-5.983727611429815e-06,-9.232643303095015e-06,-1.8746647014283047e-06,-3.437357163890327e-06,-1.2238562456499336e-05,-8.907587966925396e-06,-1.6656095216811592e-05,-1.1161140210337292e-05,-3.604979080396595e-06,-3.5846281460793418e-06,-1.6882676767708943e-05
-3.067076881388624e-05,-3.352043895290672e-05,-2.6493397361139776e-05,-1.5004306111944872e-05,-3.499880932434237e-06,-1.012012295749453e-05,-3.3282845611019266e-06,5.118755701015431e-06,3.393266759086366e-06,0.00019637441191242566,-5.389868041195489e-06,-2.1700175399456655e-06,-4.392192081875925e-06,-2.920051645130238e-06,-3.1669477346739547e-06,-1.391335447809058e-05,-5.738355600271243e-06,-5.880961916094938e-06,-2.5268105944014464e-06,-4.815323326959812e-06,-8.866941200950708e-06,-4.327039258960759e-06,-7.490591784555857e-06,-1.0650779478514066e-05
