site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2257517298,0.1964285714,33398
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1750569097,0.1428571429,32483
Alsum18-2019,Alsum18-2023,8,7,6,0.1748137877,0.1547619048,31197
Alsum59-2019,Alsum59-2023,8,6,7,0.1963940212,0.1547619048,31291
Arlington-2019,Arlington-2023,8,7,7,0.175731958,0.1428571429,32552
XMASBig-2019,XMASBig-2023,8,5,5,0.2448223536,0.2,38367
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1690146023,0.1428571429,32788
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1753777868,0.1428571429,32193
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1728142382,0.1428571429,32630
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1902893638,0.1428571429,32446
Arlington-2015,Arlington-2023,16,4,7,0.2253536017,0.1964285714,33457
C5-2015,C5-2023,16,7,7,0.1872641607,0.1428571429,32590
C44-L15-2015,C44-L15-2023,16,7,7,0.1803368592,0.1428571429,32338
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1803052235,0.1428571429,32873
H10-2015,H10-2023,16,7,7,0.1864605174,0.1428571429,32569
H15-2015,H15-2023,16,8,6,0.1822128681,0.1458333333,32466
H41-2015,H41-2023,16,7,4,0.2602528483,0.1964285714,33123
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2225773352,0.2,38757
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1769886652,0.1428571429,32701
