bin_lo,bin_hi,bin_mid,r2_0,r2_1,r2_2,r2_3,r2_4,r2_5,r2_6,r2_7,r2_8,r2_9,r2_10,r2_11,r2_12,r2_13,r2_14,r2_15,r2_16,n_0,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,n_11,n_12,n_13,n_14,n_15,n_16
1,2,1.41421,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.44949,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,4.24264,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,7.74597,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18,13.4164,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,32,24,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,56,42.332,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,74.8331,,0.0128205,,,,,,,,0.0128205,,,0.0128205,,,,0.0454545,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
100,178,133.417,0.197239,0.220193,0.21032,0.223625,0.239817,0.182451,0.234876,0.209606,0.218082,0.197079,0.26882,0.182294,0.193891,0.263082,0.201601,0.228605,0.196593,136,123,139,137,140,140,106,130,135,142,103,139,150,120,126,135,146
178,316,237.167,0.185084,0.182274,0.179823,0.174991,0.168125,0.21382,0.213836,0.194666,0.172818,0.159959,0.241426,0.166389,0.170428,0.197203,0.186615,0.190159,0.173291,319,329,325,340,333,314,260,317,333,332,257,332,351,284,319,317,348
316,562,421.417,0.15918,0.137872,0.134414,0.150944,0.129103,0.154945,0.172639,0.165758,0.131915,0.151248,0.204633,0.138364,0.144524,0.158722,0.157676,0.160728,0.140595,505,515,529,502,529,505,427,480,556,523,359,539,545,464,477,504,556
562,1000,749.667,0.127815,0.114818,0.124048,0.121904,0.106849,0.128284,0.164349,0.129952,0.114677,0.119041,0.170775,0.108622,0.10928,0.13131,0.135763,0.12807,0.113376,920,943,950,933,955,923,773,821,946,920,659,985,986,814,868,885,990
1000,1778,1333.42,0.106495,0.100431,0.107513,0.099756,0.1031,0.111957,0.149395,0.112399,0.105184,0.0980948,0.150615,0.0952634,0.0988463,0.126851,0.115431,0.110532,0.107404,1555,1591,1543,1587,1625,1567,1338,1465,1667,1647,1164,1657,1682,1372,1512,1567,1710
1778,3162,2371.08,0.104202,0.0897841,0.0949887,0.0889134,0.0914931,0.100482,0.127742,0.1006,0.0938691,0.0981407,0.143127,0.0927223,0.0910989,0.11469,0.10466,0.0971223,0.0957814,2778,2869,2785,2887,2911,2851,2396,2686,2974,2911,2078,2921,2994,2534,2671,2749,3043
