site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2248576466,0.1964285714,33182
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1835181198,0.1428571429,32496
Alsum18-2019,Alsum18-2023,8,7,6,0.19152111,0.1547619048,31461
Alsum59-2019,Alsum59-2023,8,6,7,0.1873331231,0.1547619048,31623
Arlington-2019,Arlington-2023,8,7,7,0.1780319162,0.1428571429,32355
XMASBig-2019,XMASBig-2023,8,5,5,0.2392130146,0.2,38061
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.1815898609,0.1428571429,32430
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1781394434,0.1428571429,32042
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.1646916154,0.1428571429,32428
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1762074691,0.1428571429,32026
Arlington-2015,Arlington-2023,16,4,7,0.2493198096,0.1964285714,33578
C5-2015,C5-2023,16,7,7,0.1678668276,0.1428571429,32369
C44-L15-2015,C44-L15-2023,16,7,7,0.166620371,0.1428571429,32491
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1832290736,0.1428571429,32485
H10-2015,H10-2023,16,7,7,0.1753629054,0.1428571429,32468
H15-2015,H15-2023,16,8,6,0.1700220906,0.1458333333,32384
H41-2015,H41-2023,16,7,4,0.2338812257,0.1964285714,33528
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2330311399,0.2,38237
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1789700887,0.1428571429,32583
