site_a,site_b,t,n_a,n_b,fc,pedestal,n_loci
Arlington-2015,Arlington-2019,8,4,7,0.2368112256,0.1964285714,30846
GarrisonNE-2015,OkrayGarrisonNE-2019,8,7,7,0.1954853724,0.1428571429,30449
Alsum18-2019,Alsum18-2023,8,7,6,0.1903941237,0.1547619048,29758
Alsum59-2019,Alsum59-2023,8,6,7,0.2186610834,0.1547619048,29295
Arlington-2019,Arlington-2023,8,7,7,0.1925273502,0.1428571429,29796
XMASBig-2019,XMASBig-2023,8,5,5,0.239449441,0.2,34359
OkrayGarrisonNE-2019,GarrisonNE-2023,8,7,7,0.2010080509,0.1428571429,30476
OkrayGrosheks40-2019,OkrayGrosheks40-2023,8,7,7,0.1807434176,0.1428571429,30450
PloverDaveBrSE-2019,DaveBrilowski-2023,8,7,7,0.2052856527,0.1428571429,30218
Wysocki1129-2019,Wysocki1129-2023,8,7,7,0.1785234648,0.1428571429,30519
Arlington-2015,Arlington-2023,16,4,7,0.247216309,0.1964285714,31074
C5-2015,C5-2023,16,7,7,0.1828629421,0.1428571429,30537
C44-L15-2015,C44-L15-2023,16,7,7,0.2138421133,0.1428571429,29973
GarrisonNE-2015,GarrisonNE-2023,16,7,7,0.1831156866,0.1428571429,30182
H10-2015,H10-2023,16,7,7,0.1845032717,0.1428571429,30394
H15-2015,H15-2023,16,8,6,0.1901584551,0.1458333333,30525
H41-2015,H41-2023,16,7,4,0.2629674768,0.1964285714,30372
LaszSE-O14-2015,LaszSE-O14-2023,16,5,5,0.2402004169,0.2,33978
BrilowskiHome-2015,BrikalskiPats-2023,16,7,7,0.1731938642,0.1428571429,30495
